rank_in_chain	matt_ref	luke_ref	score	op_index	op	matt_segment	luke_segment
1	Matt 1:25	Luke 1:31	0.420808	1	equal	και	και
1	Matt 1:25	Luke 1:31	0.420808	2	replace	ουκ εγινωσκεν αυτην εωσ ου ετεκεν	ιδου συλλημψη εν γαστρι και τεξη
1	Matt 1:25	Luke 1:31	0.420808	3	equal	υιον και	υιον και
1	Matt 1:25	Luke 1:31	0.420808	4	replace	εκαλεσεν	καλεσεισ
1	Matt 1:25	Luke 1:31	0.420808	5	equal	το ονομα αυτου ιησουν	το ονομα αυτου ιησουν
2	Matt 3:7	Luke 3:7	0.509213	1	replace	ιδων δε πολλουσ των φαρισαιων και σαδδουκαιων ερχομενουσ επι το βαπτισμα	ελεγεν ουν τοισ εκπορευομενοισ οχλοισ βαπτισθηναι υπ
2	Matt 3:7	Luke 3:7	0.509213	2	equal	αυτου	αυτου
2	Matt 3:7	Luke 3:7	0.509213	3	delete	ειπεν αυτοισ	
2	Matt 3:7	Luke 3:7	0.509213	4	equal	γεννηματα εχιδνων τισ υπεδειξεν υμιν φυγειν απο τησ μελλουσησ οργησ	γεννηματα εχιδνων τισ υπεδειξεν υμιν φυγειν απο τησ μελλουσησ οργησ
3	Matt 3:9	Luke 3:8	0.848287	1	insert		ποιησατε ουν καρπουσ αξιουσ τησ μετανοιασ
3	Matt 3:9	Luke 3:8	0.848287	2	equal	και μη	και μη
3	Matt 3:9	Luke 3:8	0.848287	3	replace	δοξητε	αρξησθε
3	Matt 3:9	Luke 3:8	0.848287	4	equal	λεγειν εν εαυτοισ πατερα εχομεν τον αβρααμ λεγω γαρ υμιν οτι δυναται ο θεοσ εκ των λιθων τουτων εγειραι τεκνα τω αβρααμ	λεγειν εν εαυτοισ πατερα εχομεν τον αβρααμ λεγω γαρ υμιν οτι δυναται ο θεοσ εκ των λιθων τουτων εγειραι τεκνα τω αβρααμ
4	Matt 3:10	Luke 3:9	0.936615	1	equal	ηδη δε	ηδη δε
4	Matt 3:10	Luke 3:9	0.936615	2	insert		και
4	Matt 3:10	Luke 3:9	0.936615	3	equal	η αξινη προσ την ριζαν των δενδρων κειται παν ουν δενδρον μη ποιουν καρπον καλον εκκοπτεται και εισ πυρ βαλλεται	η αξινη προσ την ριζαν των δενδρων κειται παν ουν δενδρον μη ποιουν καρπον καλον εκκοπτεται και εισ πυρ βαλλεται
5	Matt 3:12	Luke 3:17	0.749568	1	equal	ου το πτυον εν τη χειρι αυτου	ου το πτυον εν τη χειρι αυτου
5	Matt 3:12	Luke 3:17	0.749568	2	replace	και διακαθαριει	διακαθαραι
5	Matt 3:12	Luke 3:17	0.749568	3	equal	την αλωνα αυτου και	την αλωνα αυτου και
5	Matt 3:12	Luke 3:17	0.749568	4	replace	συναξει	συναγαγειν
5	Matt 3:12	Luke 3:17	0.749568	5	equal	τον σιτον	τον σιτον
5	Matt 3:12	Luke 3:17	0.749568	6	delete	αυτου	
5	Matt 3:12	Luke 3:17	0.749568	7	equal	εισ την αποθηκην	εισ την αποθηκην
5	Matt 3:12	Luke 3:17	0.749568	8	insert		αυτου
5	Matt 3:12	Luke 3:17	0.749568	9	equal	το δε αχυρον κατακαυσει πυρι ασβεστω	το δε αχυρον κατακαυσει πυρι ασβεστω
6	Matt 4:2	Luke 4:2	0.338996	1	delete	και νηστευσασ	
6	Matt 4:2	Luke 4:2	0.338996	2	equal	ημερασ τεσσερακοντα	ημερασ τεσσερακοντα
6	Matt 4:2	Luke 4:2	0.338996	3	insert		πειραζομενοσ υπο του διαβολου
6	Matt 4:2	Luke 4:2	0.338996	4	equal	και	και
6	Matt 4:2	Luke 4:2	0.338996	5	replace	νυκτασ τεσσερακοντα υστερον	ουκ εφαγεν ουδεν εν ταισ ημεραισ εκειναισ και συντελεσθεισων αυτων
6	Matt 4:2	Luke 4:2	0.338996	6	equal	επεινασεν	επεινασεν
7	Matt 4:3	Luke 4:3	0.572487	1	replace	και προσελθων	ειπεν δε αυτω
7	Matt 4:3	Luke 4:3	0.572487	2	equal	ο	ο
7	Matt 4:3	Luke 4:3	0.572487	3	replace	πειραζων ειπεν αυτω	διαβολοσ
7	Matt 4:3	Luke 4:3	0.572487	4	equal	ει υιοσ ει του θεου ειπε	ει υιοσ ει του θεου ειπε
7	Matt 4:3	Luke 4:3	0.572487	5	insert		τω λιθω τουτω
7	Matt 4:3	Luke 4:3	0.572487	6	equal	ινα	ινα
7	Matt 4:3	Luke 4:3	0.572487	7	replace	οι λιθοι ουτοι αρτοι γενωνται	γενηται αρτοσ
8	Matt 4:4	Luke 4:4	0.472079	1	insert		και απεκριθη προσ αυτον
8	Matt 4:4	Luke 4:4	0.472079	2	equal	ο	ο
8	Matt 4:4	Luke 4:4	0.472079	3	replace	δε αποκριθεισ ειπεν	ιησουσ
8	Matt 4:4	Luke 4:4	0.472079	4	equal	γεγραπται	γεγραπται
8	Matt 4:4	Luke 4:4	0.472079	5	insert		οτι
8	Matt 4:4	Luke 4:4	0.472079	6	equal	ουκ επ αρτω μονω ζησεται ο ανθρωποσ	ουκ επ αρτω μονω ζησεται ο ανθρωποσ
8	Matt 4:4	Luke 4:4	0.472079	7	delete	αλλ επι παντι ρηματι εκπορευομενω δια στοματοσ θεου	
9	Matt 4:5	Luke 4:9	0.378854	1	replace	τοτε παραλαμβανει	ηγαγεν δε
9	Matt 4:5	Luke 4:9	0.378854	2	equal	αυτον	αυτον
9	Matt 4:5	Luke 4:9	0.378854	3	delete	ο διαβολοσ	
9	Matt 4:5	Luke 4:9	0.378854	4	equal	εισ	εισ
9	Matt 4:5	Luke 4:9	0.378854	5	replace	την αγιαν πολιν	ιερουσαλημ
9	Matt 4:5	Luke 4:9	0.378854	6	equal	και εστησεν	και εστησεν
9	Matt 4:5	Luke 4:9	0.378854	7	delete	αυτον	
9	Matt 4:5	Luke 4:9	0.378854	8	equal	επι το πτερυγιον του ιερου	επι το πτερυγιον του ιερου
9	Matt 4:5	Luke 4:9	0.378854	9	insert		και ειπεν αυτω ει υιοσ ει του θεου βαλε σεαυτον εντευθεν κατω
10	Matt 4:6	Luke 4:11	0.595825	1	equal	και	και
10	Matt 4:6	Luke 4:11	0.595825	2	delete	λεγει αυτω ει υιοσ ει του θεου βαλε σεαυτον κατω γεγραπται γαρ	
10	Matt 4:6	Luke 4:11	0.595825	3	equal	οτι	οτι
10	Matt 4:6	Luke 4:11	0.595825	4	delete	τοισ αγγελοισ αυτου εντελειται περι σου και	
10	Matt 4:6	Luke 4:11	0.595825	5	equal	επι χειρων αρουσιν σε μηποτε προσκοψησ προσ λιθον τον ποδα σου	επι χειρων αρουσιν σε μηποτε προσκοψησ προσ λιθον τον ποδα σου
11	Matt 5:3	Luke 6:20	0.373554	1	insert		και αυτοσ επαρασ τουσ οφθαλμουσ αυτου εισ τουσ μαθητασ αυτου ελεγεν
11	Matt 5:3	Luke 6:20	0.373554	2	equal	μακαριοι οι πτωχοι	μακαριοι οι πτωχοι
11	Matt 5:3	Luke 6:20	0.373554	3	delete	τω πνευματι	
11	Matt 5:3	Luke 6:20	0.373554	4	equal	οτι	οτι
11	Matt 5:3	Luke 6:20	0.373554	5	replace	αυτων	υμετερα
11	Matt 5:3	Luke 6:20	0.373554	6	equal	εστιν η βασιλεια	εστιν η βασιλεια
11	Matt 5:3	Luke 6:20	0.373554	7	replace	των ουρανων	του θεου
12	Matt 5:6	Luke 6:21	0.341208	1	equal	μακαριοι οι πεινωντεσ	μακαριοι οι πεινωντεσ
12	Matt 5:6	Luke 6:21	0.341208	2	replace	και διψωντεσ την δικαιοσυνην	νυν
12	Matt 5:6	Luke 6:21	0.341208	3	equal	οτι	οτι
12	Matt 5:6	Luke 6:21	0.341208	4	replace	αυτοι χορτασθησονται	χορτασθησεσθε μακαριοι οι κλαιοντεσ νυν οτι γελασετε
13	Matt 5:11	Luke 6:22	0.339832	1	equal	μακαριοι εστε οταν	μακαριοι εστε οταν
13	Matt 5:11	Luke 6:22	0.339832	2	replace	ονειδισωσιν	μισησωσιν υμασ οι ανθρωποι και οταν αφορισωσιν
13	Matt 5:11	Luke 6:22	0.339832	3	equal	υμασ και	υμασ και
13	Matt 5:11	Luke 6:22	0.339832	4	replace	διωξωσιν	ονειδισωσιν
13	Matt 5:11	Luke 6:22	0.339832	5	equal	και	και
13	Matt 5:11	Luke 6:22	0.339832	6	replace	ειπωσιν παν	εκβαλωσιν το ονομα υμων ωσ
13	Matt 5:11	Luke 6:22	0.339832	7	equal	πονηρον	πονηρον
13	Matt 5:11	Luke 6:22	0.339832	8	replace	καθ υμων ψευδομενοι ενεκεν εμου	ενεκα του υιου του ανθρωπου
14	Matt 5:12	Luke 6:23	0.373106	1	replace	χαιρετε	χαρητε εν εκεινη τη ημερα
14	Matt 5:12	Luke 6:23	0.373106	2	equal	και	και
14	Matt 5:12	Luke 6:23	0.373106	3	replace	αγαλλιασθε οτι	σκιρτησατε ιδου γαρ
14	Matt 5:12	Luke 6:23	0.373106	4	equal	ο μισθοσ υμων πολυσ εν	ο μισθοσ υμων πολυσ εν
14	Matt 5:12	Luke 6:23	0.373106	5	insert		τω ουρανω κατα τα αυτα γαρ εποιουν
14	Matt 5:12	Luke 6:23	0.373106	6	equal	τοισ	τοισ
14	Matt 5:12	Luke 6:23	0.373106	7	replace	ουρανοισ ουτωσ γαρ εδιωξαν τουσ προφητασ τουσ προ υμων	προφηταισ οι πατερεσ αυτων
15	Matt 5:44	Luke 6:27	0.387443	1	replace	εγω δε	αλλα υμιν
15	Matt 5:44	Luke 6:27	0.387443	2	equal	λεγω	λεγω
15	Matt 5:44	Luke 6:27	0.387443	3	replace	υμιν	τοισ ακουουσιν
15	Matt 5:44	Luke 6:27	0.387443	4	equal	αγαπατε τουσ εχθρουσ υμων	αγαπατε τουσ εχθρουσ υμων
15	Matt 5:44	Luke 6:27	0.387443	5	replace	και προσευχεσθε υπερ των διωκοντων	καλωσ ποιειτε τοισ μισουσιν
15	Matt 5:44	Luke 6:27	0.387443	6	equal	υμασ	υμασ
16	Matt 7:1	Luke 6:37	0.342096	1	insert		και
16	Matt 7:1	Luke 6:37	0.342096	2	equal	μη κρινετε	μη κρινετε
16	Matt 7:1	Luke 6:37	0.342096	3	replace	ινα	και ου
16	Matt 7:1	Luke 6:37	0.342096	4	equal	μη κριθητε	μη κριθητε
16	Matt 7:1	Luke 6:37	0.342096	5	insert		και μη καταδικαζετε και ου μη καταδικασθητε απολυετε και απολυθησεσθε
17	Matt 7:3	Luke 6:41	0.764073	1	equal	τι δε βλεπεισ το καρφοσ το εν τω οφθαλμω του αδελφου σου την δε	τι δε βλεπεισ το καρφοσ το εν τω οφθαλμω του αδελφου σου την δε
17	Matt 7:3	Luke 6:41	0.764073	2	insert		δοκον την
17	Matt 7:3	Luke 6:41	0.764073	3	equal	εν τω	εν τω
17	Matt 7:3	Luke 6:41	0.764073	4	replace	σω	ιδιω
17	Matt 7:3	Luke 6:41	0.764073	5	equal	οφθαλμω	οφθαλμω
17	Matt 7:3	Luke 6:41	0.764073	6	delete	δοκον	
17	Matt 7:3	Luke 6:41	0.764073	7	equal	ου κατανοεισ	ου κατανοεισ
18	Matt 7:4	Luke 6:42	0.536049	1	delete	η	
18	Matt 7:4	Luke 6:42	0.536049	2	equal	πωσ	πωσ
18	Matt 7:4	Luke 6:42	0.536049	3	replace	ερεισ	δυνασαι λεγειν
18	Matt 7:4	Luke 6:42	0.536049	4	equal	τω αδελφω σου	τω αδελφω σου
18	Matt 7:4	Luke 6:42	0.536049	5	insert		αδελφε
18	Matt 7:4	Luke 6:42	0.536049	6	equal	αφεσ εκβαλω το καρφοσ	αφεσ εκβαλω το καρφοσ
18	Matt 7:4	Luke 6:42	0.536049	7	insert		το εν τω οφθαλμω σου αυτοσ την εν τω οφθαλμω σου δοκον ου βλεπων υποκριτα εκβαλε πρωτον την δοκον
18	Matt 7:4	Luke 6:42	0.536049	8	equal	εκ του οφθαλμου σου και	εκ του οφθαλμου σου και
18	Matt 7:4	Luke 6:42	0.536049	9	replace	ιδου η δοκοσ	τοτε διαβλεψεισ το καρφοσ το
18	Matt 7:4	Luke 6:42	0.536049	10	equal	εν τω οφθαλμω	εν τω οφθαλμω
18	Matt 7:4	Luke 6:42	0.536049	11	insert		του αδελφου
18	Matt 7:4	Luke 6:42	0.536049	12	equal	σου	σου
18	Matt 7:4	Luke 6:42	0.536049	13	insert		εκβαλειν
19	Matt 7:18	Luke 6:43	0.435015	1	equal	ου	ου
19	Matt 7:18	Luke 6:43	0.435015	2	replace	δυναται	γαρ εστιν
19	Matt 7:18	Luke 6:43	0.435015	3	equal	δενδρον	δενδρον
19	Matt 7:18	Luke 6:43	0.435015	4	replace	αγαθον καρπουσ πονηρουσ ποιειν	καλον ποιουν καρπον σαπρον
19	Matt 7:18	Luke 6:43	0.435015	5	equal	ουδε	ουδε
19	Matt 7:18	Luke 6:43	0.435015	6	insert		παλιν
19	Matt 7:18	Luke 6:43	0.435015	7	equal	δενδρον σαπρον	δενδρον σαπρον
19	Matt 7:18	Luke 6:43	0.435015	8	replace	καρπουσ καλουσ ποιειν	ποιουν καρπον καλον
20	Matt 8:8	Luke 7:7	0.427947	1	replace	και αποκριθεισ ο εκατονταρχοσ εφη κυριε ουκ ειμι ικανοσ ινα μου υπο την στεγην εισελθησ	διο ουδε εμαυτον ηξιωσα προσ σε ελθειν
20	Matt 8:8	Luke 7:7	0.427947	2	equal	αλλα	αλλα
20	Matt 8:8	Luke 7:7	0.427947	3	delete	μονον	
20	Matt 8:8	Luke 7:7	0.427947	4	equal	ειπε λογω και	ειπε λογω και
20	Matt 8:8	Luke 7:7	0.427947	5	replace	ιαθησεται	ιαθητω
20	Matt 8:8	Luke 7:7	0.427947	6	equal	ο παισ μου	ο παισ μου
21	Matt 8:9	Luke 7:8	0.869664	1	equal	και γαρ εγω ανθρωποσ ειμι υπο εξουσιαν	και γαρ εγω ανθρωποσ ειμι υπο εξουσιαν
21	Matt 8:9	Luke 7:8	0.869664	2	insert		τασσομενοσ
21	Matt 8:9	Luke 7:8	0.869664	3	equal	εχων υπ εμαυτον στρατιωτασ και λεγω τουτω πορευθητι και πορευεται και αλλω ερχου και ερχεται και τω δουλω μου ποιησον τουτο και ποιει	εχων υπ εμαυτον στρατιωτασ και λεγω τουτω πορευθητι και πορευεται και αλλω ερχου και ερχεται και τω δουλω μου ποιησον τουτο και ποιει
22	Matt 8:10	Luke 7:9	0.655418	1	equal	ακουσασ δε	ακουσασ δε
22	Matt 8:10	Luke 7:9	0.655418	2	insert		ταυτα
22	Matt 8:10	Luke 7:9	0.655418	3	equal	ο ιησουσ εθαυμασεν	ο ιησουσ εθαυμασεν
22	Matt 8:10	Luke 7:9	0.655418	4	insert		αυτον
22	Matt 8:10	Luke 7:9	0.655418	5	equal	και	και
22	Matt 8:10	Luke 7:9	0.655418	6	insert		στραφεισ τω ακολουθουντι αυτω οχλω
22	Matt 8:10	Luke 7:9	0.655418	7	equal	ειπεν	ειπεν
22	Matt 8:10	Luke 7:9	0.655418	8	delete	τοισ ακολουθουσιν αμην	
22	Matt 8:10	Luke 7:9	0.655418	9	equal	λεγω υμιν	λεγω υμιν
22	Matt 8:10	Luke 7:9	0.655418	10	replace	παρ ουδενι τοσαυτην πιστιν	ουδε
22	Matt 8:10	Luke 7:9	0.655418	11	equal	εν τω ισραηλ	εν τω ισραηλ
22	Matt 8:10	Luke 7:9	0.655418	12	insert		τοσαυτην πιστιν
22	Matt 8:10	Luke 7:9	0.655418	13	equal	ευρον	ευρον
23	Matt 11:3	Luke 7:19	0.519428	1	replace	ειπεν αυτω	επεμψεν προσ τον κυριον λεγων
23	Matt 11:3	Luke 7:19	0.519428	2	equal	συ ει ο ερχομενοσ η	συ ει ο ερχομενοσ η
23	Matt 11:3	Luke 7:19	0.519428	3	replace	ετερον	αλλον
23	Matt 11:3	Luke 7:19	0.519428	4	equal	προσδοκωμεν	προσδοκωμεν
24	Matt 11:5	Luke 7:22	0.700909	1	insert		και αποκριθεισ ειπεν αυτοισ πορευθεντεσ απαγγειλατε ιωαννη α ειδετε και ηκουσατε
24	Matt 11:5	Luke 7:22	0.700909	2	equal	τυφλοι αναβλεπουσιν	τυφλοι αναβλεπουσιν
24	Matt 11:5	Luke 7:22	0.700909	3	delete	και	
24	Matt 11:5	Luke 7:22	0.700909	4	equal	χωλοι περιπατουσιν λεπροι καθαριζονται	χωλοι περιπατουσιν λεπροι καθαριζονται
24	Matt 11:5	Luke 7:22	0.700909	5	delete	και	
24	Matt 11:5	Luke 7:22	0.700909	6	equal	κωφοι ακουουσιν	κωφοι ακουουσιν
24	Matt 11:5	Luke 7:22	0.700909	7	delete	και	
24	Matt 11:5	Luke 7:22	0.700909	8	equal	νεκροι εγειρονται	νεκροι εγειρονται
24	Matt 11:5	Luke 7:22	0.700909	9	delete	και	
24	Matt 11:5	Luke 7:22	0.700909	10	equal	πτωχοι ευαγγελιζονται	πτωχοι ευαγγελιζονται
25	Matt 11:6	Luke 7:23	0.943357	1	equal	και μακαριοσ εστιν οσ εαν μη σκανδαλισθη εν εμοι	και μακαριοσ εστιν οσ εαν μη σκανδαλισθη εν εμοι
26	Matt 11:7	Luke 7:24	0.77343	1	replace	τουτων	απελθοντων
26	Matt 11:7	Luke 7:24	0.77343	2	equal	δε	δε
26	Matt 11:7	Luke 7:24	0.77343	3	replace	πορευομενων	των αγγελων ιωαννου
26	Matt 11:7	Luke 7:24	0.77343	4	equal	ηρξατο	ηρξατο
26	Matt 11:7	Luke 7:24	0.77343	5	delete	ο ιησουσ	
26	Matt 11:7	Luke 7:24	0.77343	6	equal	λεγειν	λεγειν
26	Matt 11:7	Luke 7:24	0.77343	7	replace	τοισ οχλοισ	προσ τουσ οχλουσ
26	Matt 11:7	Luke 7:24	0.77343	8	equal	περι ιωαννου τι εξηλθατε εισ την ερημον θεασασθαι καλαμον υπο ανεμου σαλευομενον	περι ιωαννου τι εξηλθατε εισ την ερημον θεασασθαι καλαμον υπο ανεμου σαλευομενον
27	Matt 11:8	Luke 7:25	0.593065	1	equal	αλλα τι εξηλθατε ιδειν ανθρωπον εν μαλακοισ	αλλα τι εξηλθατε ιδειν ανθρωπον εν μαλακοισ
27	Matt 11:8	Luke 7:25	0.593065	2	insert		ιματιοισ
27	Matt 11:8	Luke 7:25	0.593065	3	equal	ημφιεσμενον ιδου οι	ημφιεσμενον ιδου οι
27	Matt 11:8	Luke 7:25	0.593065	4	replace	τα μαλακα φορουντεσ	εν ιματισμω ενδοξω και τρυφη υπαρχοντεσ
27	Matt 11:8	Luke 7:25	0.593065	5	equal	εν τοισ	εν τοισ
27	Matt 11:8	Luke 7:25	0.593065	6	replace	οικοισ των βασιλεων	βασιλειοισ
27	Matt 11:8	Luke 7:25	0.593065	7	equal	εισιν	εισιν
28	Matt 11:9	Luke 7:26	0.864639	1	equal	αλλα τι εξηλθατε	αλλα τι εξηλθατε
28	Matt 11:9	Luke 7:26	0.864639	2	insert		ιδειν
28	Matt 11:9	Luke 7:26	0.864639	3	equal	προφητην	προφητην
28	Matt 11:9	Luke 7:26	0.864639	4	delete	ιδειν	
28	Matt 11:9	Luke 7:26	0.864639	5	equal	ναι λεγω υμιν και περισσοτερον προφητου	ναι λεγω υμιν και περισσοτερον προφητου
29	Matt 11:11	Luke 7:28	0.677339	1	delete	αμην	
29	Matt 11:11	Luke 7:28	0.677339	2	equal	λεγω υμιν	λεγω υμιν
29	Matt 11:11	Luke 7:28	0.677339	3	replace	ουκ εγηγερται	μειζων
29	Matt 11:11	Luke 7:28	0.677339	4	equal	εν γεννητοισ γυναικων	εν γεννητοισ γυναικων
29	Matt 11:11	Luke 7:28	0.677339	5	delete	μειζων	
29	Matt 11:11	Luke 7:28	0.677339	6	equal	ιωαννου	ιωαννου
29	Matt 11:11	Luke 7:28	0.677339	7	replace	του βαπτιστου	ουδεισ εστιν
29	Matt 11:11	Luke 7:28	0.677339	8	equal	ο δε μικροτεροσ εν τη βασιλεια	ο δε μικροτεροσ εν τη βασιλεια
29	Matt 11:11	Luke 7:28	0.677339	9	replace	των ουρανων	του θεου
29	Matt 11:11	Luke 7:28	0.677339	10	equal	μειζων αυτου εστιν	μειζων αυτου εστιν
30	Matt 11:16	Luke 7:31	0.347749	1	equal	τινι	τινι
30	Matt 11:16	Luke 7:31	0.347749	2	replace	δε	ουν
30	Matt 11:16	Luke 7:31	0.347749	3	equal	ομοιωσω	ομοιωσω
30	Matt 11:16	Luke 7:31	0.347749	4	replace	την γενεαν ταυτην ομοια εστιν παιδιοισ καθημενοισ εν ταισ αγοραισ α προσφωνουντα τοισ ετεροισ	τουσ ανθρωπουσ τησ γενεασ ταυτησ και τινι εισιν ομοιοι
31	Matt 11:17	Luke 7:32	0.541087	1	replace	λεγουσιν	ομοιοι εισιν παιδιοισ τοισ εν αγορα καθημενοισ και προσφωνουσιν αλληλοισ α λεγει
31	Matt 11:17	Luke 7:32	0.541087	2	equal	ηυλησαμεν υμιν και ουκ ωρχησασθε εθρηνησαμεν και ουκ	ηυλησαμεν υμιν και ουκ ωρχησασθε εθρηνησαμεν και ουκ
31	Matt 11:17	Luke 7:32	0.541087	3	replace	εκοψασθε	εκλαυσατε
32	Matt 11:18	Luke 7:33	0.57366	1	replace	ηλθεν	εληλυθεν
32	Matt 11:18	Luke 7:33	0.57366	2	equal	γαρ ιωαννησ	γαρ ιωαννησ
32	Matt 11:18	Luke 7:33	0.57366	3	replace	μητε	ο βαπτιστησ μη
32	Matt 11:18	Luke 7:33	0.57366	4	equal	εσθιων	εσθιων
32	Matt 11:18	Luke 7:33	0.57366	5	insert		αρτον
32	Matt 11:18	Luke 7:33	0.57366	6	equal	μητε πινων	μητε πινων
32	Matt 11:18	Luke 7:33	0.57366	7	insert		οινον
32	Matt 11:18	Luke 7:33	0.57366	8	equal	και	και
32	Matt 11:18	Luke 7:33	0.57366	9	replace	λεγουσιν	λεγετε
32	Matt 11:18	Luke 7:33	0.57366	10	equal	δαιμονιον εχει	δαιμονιον εχει
