rank_in_chain	matt_ref	luke_ref	score	op_index	op	matt_segment	luke_segment
33	Matt 11:19	Luke 7:34	0.674027	1	replace	ηλθεν	εληλυθεν
33	Matt 11:19	Luke 7:34	0.674027	2	equal	ο υιοσ του ανθρωπου εσθιων και πινων και	ο υιοσ του ανθρωπου εσθιων και πινων και
33	Matt 11:19	Luke 7:34	0.674027	3	replace	λεγουσιν	λεγετε
33	Matt 11:19	Luke 7:34	0.674027	4	equal	ιδου ανθρωποσ φαγοσ και οινοποτησ	ιδου ανθρωποσ φαγοσ και οινοποτησ
33	Matt 11:19	Luke 7:34	0.674027	5	insert		φιλοσ
33	Matt 11:19	Luke 7:34	0.674027	6	equal	τελωνων	τελωνων
33	Matt 11:19	Luke 7:34	0.674027	7	delete	φιλοσ	
33	Matt 11:19	Luke 7:34	0.674027	8	equal	και αμαρτωλων	και αμαρτωλων
33	Matt 11:19	Luke 7:34	0.674027	9	delete	και εδικαιωθη η σοφια απο των εργων αυτησ	
34	Matt 11:21	Luke 10:13	0.864137	1	equal	ουαι σοι χοραζιν ουαι σοι βηθσαιδα οτι ει εν τυρω και σιδωνι	ουαι σοι χοραζιν ουαι σοι βηθσαιδα οτι ει εν τυρω και σιδωνι
34	Matt 11:21	Luke 10:13	0.864137	2	replace	εγενοντο	εγενηθησαν
34	Matt 11:21	Luke 10:13	0.864137	3	equal	αι δυναμεισ αι γενομεναι εν υμιν παλαι αν εν σακκω και σποδω	αι δυναμεισ αι γενομεναι εν υμιν παλαι αν εν σακκω και σποδω
34	Matt 11:21	Luke 10:13	0.864137	4	insert		καθημενοι
34	Matt 11:21	Luke 10:13	0.864137	5	equal	μετενοησαν	μετενοησαν
35	Matt 11:22	Luke 10:14	0.783292	1	equal	πλην	πλην
35	Matt 11:22	Luke 10:14	0.783292	2	delete	λεγω υμιν	
35	Matt 11:22	Luke 10:14	0.783292	3	equal	τυρω και σιδωνι ανεκτοτερον εσται εν	τυρω και σιδωνι ανεκτοτερον εσται εν
35	Matt 11:22	Luke 10:14	0.783292	4	replace	ημερα κρισεωσ	τη κρισει
35	Matt 11:22	Luke 10:14	0.783292	5	equal	η υμιν	η υμιν
36	Matt 11:23	Luke 10:15	0.563552	1	equal	και συ καφαρναουμ μη εωσ ουρανου υψωθηση εωσ	και συ καφαρναουμ μη εωσ ουρανου υψωθηση εωσ
36	Matt 11:23	Luke 10:15	0.563552	2	insert		του
36	Matt 11:23	Luke 10:15	0.563552	3	equal	αδου	αδου
36	Matt 11:23	Luke 10:15	0.563552	4	replace	καταβηση οτι ει εν σοδομοισ εγενηθησαν αι δυναμεισ αι γενομεναι εν σοι εμεινεν αν μεχρι τησ σημερον	καταβιβασθηση
37	Matt 11:25	Luke 10:21	0.55537	1	equal	εν	εν
37	Matt 11:25	Luke 10:21	0.55537	2	replace	εκεινω	αυτη τη ωρα ηγαλλιασατο
37	Matt 11:25	Luke 10:21	0.55537	3	equal	τω	τω
37	Matt 11:25	Luke 10:21	0.55537	4	replace	καιρω αποκριθεισ ο ιησουσ	πνευματι τω αγιω και
37	Matt 11:25	Luke 10:21	0.55537	5	equal	ειπεν εξομολογουμαι σοι πατερ κυριε του ουρανου και τησ γησ οτι	ειπεν εξομολογουμαι σοι πατερ κυριε του ουρανου και τησ γησ οτι
37	Matt 11:25	Luke 10:21	0.55537	6	replace	εκρυψασ	απεκρυψασ
37	Matt 11:25	Luke 10:21	0.55537	7	equal	ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ	ταυτα απο σοφων και συνετων και απεκαλυψασ αυτα νηπιοισ
37	Matt 11:25	Luke 10:21	0.55537	8	insert		ναι ο πατηρ οτι ουτωσ ευδοκια εγενετο εμπροσθεν σου
38	Matt 11:27	Luke 10:22	0.680131	1	equal	παντα μοι παρεδοθη υπο του πατροσ μου και ουδεισ	παντα μοι παρεδοθη υπο του πατροσ μου και ουδεισ
38	Matt 11:27	Luke 10:22	0.680131	2	replace	επιγινωσκει τον υιον	γινωσκει τισ εστιν ο υιοσ
38	Matt 11:27	Luke 10:22	0.680131	3	equal	ει μη ο πατηρ	ει μη ο πατηρ
38	Matt 11:27	Luke 10:22	0.680131	4	replace	ουδε τον πατερα	και
38	Matt 11:27	Luke 10:22	0.680131	5	equal	τισ	τισ
38	Matt 11:27	Luke 10:22	0.680131	6	replace	επιγινωσκει	εστιν ο πατηρ
38	Matt 11:27	Luke 10:22	0.680131	7	equal	ει μη ο υιοσ και ω εαν βουληται ο υιοσ αποκαλυψαι	ει μη ο υιοσ και ω εαν βουληται ο υιοσ αποκαλυψαι
39	Matt 12:25	Luke 11:17	0.371466	1	insert		αυτοσ δε
39	Matt 12:25	Luke 11:17	0.371466	2	equal	ειδωσ	ειδωσ
39	Matt 12:25	Luke 11:17	0.371466	3	delete	δε τασ ενθυμησεισ	
39	Matt 12:25	Luke 11:17	0.371466	4	equal	αυτων	αυτων
39	Matt 12:25	Luke 11:17	0.371466	5	insert		τα διανοηματα
39	Matt 12:25	Luke 11:17	0.371466	6	equal	ειπεν αυτοισ πασα βασιλεια	ειπεν αυτοισ πασα βασιλεια
39	Matt 12:25	Luke 11:17	0.371466	7	replace	μερισθεισα καθ εαυτησ	εφ εαυτην διαμερισθεισα
39	Matt 12:25	Luke 11:17	0.371466	8	equal	ερημουται και	ερημουται και
39	Matt 12:25	Luke 11:17	0.371466	9	replace	πασα πολισ η οικια μερισθεισα καθ εαυτησ ου σταθησεται	οικοσ επι οικον πιπτει
40	Matt 12:27	Luke 11:19	0.8925	1	delete	και	
40	Matt 12:27	Luke 11:19	0.8925	2	equal	ει	ει
40	Matt 12:27	Luke 11:19	0.8925	3	insert		δε
40	Matt 12:27	Luke 11:19	0.8925	4	equal	εγω εν βεελζεβουλ εκβαλλω τα δαιμονια οι υιοι υμων εν τινι εκβαλλουσιν δια τουτο αυτοι	εγω εν βεελζεβουλ εκβαλλω τα δαιμονια οι υιοι υμων εν τινι εκβαλλουσιν δια τουτο αυτοι
40	Matt 12:27	Luke 11:19	0.8925	5	insert		υμων
40	Matt 12:27	Luke 11:19	0.8925	6	equal	κριται εσονται	κριται εσονται
40	Matt 12:27	Luke 11:19	0.8925	7	delete	υμων	
41	Matt 12:28	Luke 11:20	0.850468	1	equal	ει δε εν	ει δε εν
41	Matt 12:28	Luke 11:20	0.850468	2	replace	πνευματι	δακτυλω
41	Matt 12:28	Luke 11:20	0.850468	3	equal	θεου	θεου
41	Matt 12:28	Luke 11:20	0.850468	4	delete	εγω	
41	Matt 12:28	Luke 11:20	0.850468	5	equal	εκβαλλω τα δαιμονια αρα εφθασεν εφ υμασ η βασιλεια του θεου	εκβαλλω τα δαιμονια αρα εφθασεν εφ υμασ η βασιλεια του θεου
42	Matt 12:30	Luke 11:23	0.826928	1	equal	ο μη ων μετ εμου κατ εμου εστιν και ο μη συναγων μετ εμου σκορπιζει	ο μη ων μετ εμου κατ εμου εστιν και ο μη συναγων μετ εμου σκορπιζει
43	Matt 12:43	Luke 11:24	0.690322	1	equal	οταν	οταν
43	Matt 12:43	Luke 11:24	0.690322	2	delete	δε	
43	Matt 12:43	Luke 11:24	0.690322	3	equal	το ακαθαρτον πνευμα εξελθη απο του ανθρωπου διερχεται δι ανυδρων τοπων ζητουν αναπαυσιν και	το ακαθαρτον πνευμα εξελθη απο του ανθρωπου διερχεται δι ανυδρων τοπων ζητουν αναπαυσιν και
43	Matt 12:43	Luke 11:24	0.690322	4	replace	ουχ ευρισκει	μη ευρισκον λεγει υποστρεψω εισ τον οικον μου οθεν εξηλθον
44	Matt 12:44	Luke 11:25	0.554523	1	delete	τοτε λεγει εισ τον οικον μου επιστρεψω οθεν εξηλθον	
44	Matt 12:44	Luke 11:25	0.554523	2	equal	και ελθον ευρισκει	και ελθον ευρισκει
44	Matt 12:44	Luke 11:25	0.554523	3	delete	σχολαζοντα	
44	Matt 12:44	Luke 11:25	0.554523	4	equal	σεσαρωμενον και κεκοσμημενον	σεσαρωμενον και κεκοσμημενον
45	Matt 12:45	Luke 11:26	0.732689	1	equal	τοτε πορευεται και παραλαμβανει	τοτε πορευεται και παραλαμβανει
45	Matt 12:45	Luke 11:26	0.732689	2	delete	μεθ εαυτου επτα	
45	Matt 12:45	Luke 11:26	0.732689	3	equal	ετερα πνευματα πονηροτερα εαυτου	ετερα πνευματα πονηροτερα εαυτου
45	Matt 12:45	Luke 11:26	0.732689	4	insert		επτα
45	Matt 12:45	Luke 11:26	0.732689	5	equal	και εισελθοντα κατοικει εκει και γινεται τα εσχατα του ανθρωπου εκεινου χειρονα των πρωτων	και εισελθοντα κατοικει εκει και γινεται τα εσχατα του ανθρωπου εκεινου χειρονα των πρωτων
45	Matt 12:45	Luke 11:26	0.732689	6	delete	ουτωσ εσται και τη γενεα ταυτη τη πονηρα	
46	Matt 23:25	Luke 11:39	0.406111	1	replace	ουαι υμιν γραμματεισ και	ειπεν δε ο κυριοσ προσ αυτον νυν υμεισ οι
46	Matt 23:25	Luke 11:39	0.406111	2	equal	φαρισαιοι	φαρισαιοι
46	Matt 23:25	Luke 11:39	0.406111	3	delete	υποκριται οτι καθαριζετε	
46	Matt 23:25	Luke 11:39	0.406111	4	equal	το εξωθεν του ποτηριου και	το εξωθεν του ποτηριου και
46	Matt 23:25	Luke 11:39	0.406111	5	replace	τησ παροψιδοσ	του πινακοσ καθαριζετε το δε
46	Matt 23:25	Luke 11:39	0.406111	6	equal	εσωθεν	εσωθεν
46	Matt 23:25	Luke 11:39	0.406111	7	replace	δε γεμουσιν εξ	υμων γεμει
46	Matt 23:25	Luke 11:39	0.406111	8	equal	αρπαγησ και	αρπαγησ και
46	Matt 23:25	Luke 11:39	0.406111	9	replace	ακρασιασ	πονηριασ
47	Matt 23:29	Luke 11:47	0.382234	1	equal	ουαι υμιν	ουαι υμιν
47	Matt 23:29	Luke 11:47	0.382234	2	delete	γραμματεισ και φαρισαιοι υποκριται	
47	Matt 23:29	Luke 11:47	0.382234	3	equal	οτι οικοδομειτε	οτι οικοδομειτε
47	Matt 23:29	Luke 11:47	0.382234	4	delete	τουσ ταφουσ των προφητων και κοσμειτε	
47	Matt 23:29	Luke 11:47	0.382234	5	equal	τα μνημεια των	τα μνημεια των
47	Matt 23:29	Luke 11:47	0.382234	6	replace	δικαιων	προφητων οι δε πατερεσ υμων απεκτειναν αυτουσ
48	Matt 23:34	Luke 11:49	0.322939	1	equal	δια τουτο	δια τουτο
48	Matt 23:34	Luke 11:49	0.322939	2	replace	ιδου εγω αποστελλω προσ υμασ	και η σοφια του θεου ειπεν αποστελω εισ αυτουσ
48	Matt 23:34	Luke 11:49	0.322939	3	equal	προφητασ και	προφητασ και
48	Matt 23:34	Luke 11:49	0.322939	4	replace	σοφουσ και γραμματεισ εξ αυτων αποκτενειτε και σταυρωσετε	αποστολουσ
48	Matt 23:34	Luke 11:49	0.322939	5	equal	και εξ αυτων	και εξ αυτων
48	Matt 23:34	Luke 11:49	0.322939	6	replace	μαστιγωσετε εν ταισ συναγωγαισ υμων	αποκτενουσιν
48	Matt 23:34	Luke 11:49	0.322939	7	equal	και	και
48	Matt 23:34	Luke 11:49	0.322939	8	replace	διωξετε απο πολεωσ εισ πολιν	διωξουσιν
49	Matt 23:35	Luke 11:51	0.329496	1	delete	οπωσ ελθη εφ υμασ παν αιμα δικαιον εκχυννομενον επι τησ γησ	
49	Matt 23:35	Luke 11:51	0.329496	2	equal	απο	απο
49	Matt 23:35	Luke 11:51	0.329496	3	delete	του	
49	Matt 23:35	Luke 11:51	0.329496	4	equal	αιματοσ αβελ	αιματοσ αβελ
49	Matt 23:35	Luke 11:51	0.329496	5	delete	του δικαιου	
49	Matt 23:35	Luke 11:51	0.329496	6	equal	εωσ	εωσ
49	Matt 23:35	Luke 11:51	0.329496	7	delete	του	
49	Matt 23:35	Luke 11:51	0.329496	8	equal	αιματοσ ζαχαριου	αιματοσ ζαχαριου
49	Matt 23:35	Luke 11:51	0.329496	9	replace	υιου βαραχιου ον εφονευσατε	του απολομενου
49	Matt 23:35	Luke 11:51	0.329496	10	equal	μεταξυ του	μεταξυ του
49	Matt 23:35	Luke 11:51	0.329496	11	replace	ναου	θυσιαστηριου
49	Matt 23:35	Luke 11:51	0.329496	12	equal	και του	και του
49	Matt 23:35	Luke 11:51	0.329496	13	replace	θυσιαστηριου	οικου ναι λεγω υμιν εκζητηθησεται απο τησ γενεασ ταυτησ
50	Matt 24:43	Luke 12:39	0.653101	1	replace	εκεινο	τουτο
50	Matt 24:43	Luke 12:39	0.653101	2	equal	δε γινωσκετε οτι ει ηδει ο οικοδεσποτησ ποια	δε γινωσκετε οτι ει ηδει ο οικοδεσποτησ ποια
50	Matt 24:43	Luke 12:39	0.653101	3	replace	φυλακη	ωρα
50	Matt 24:43	Luke 12:39	0.653101	4	equal	ο κλεπτησ ερχεται	ο κλεπτησ ερχεται
50	Matt 24:43	Luke 12:39	0.653101	5	delete	εγρηγορησεν αν και	
50	Matt 24:43	Luke 12:39	0.653101	6	equal	ουκ αν	ουκ αν
50	Matt 24:43	Luke 12:39	0.653101	7	replace	ειασεν	αφηκεν
50	Matt 24:43	Luke 12:39	0.653101	8	equal	διορυχθηναι	διορυχθηναι
50	Matt 24:43	Luke 12:39	0.653101	9	replace	την οικιαν	τον οικον
50	Matt 24:43	Luke 12:39	0.653101	10	equal	αυτου	αυτου
51	Matt 24:44	Luke 12:40	0.783554	1	delete	δια τουτο	
51	Matt 24:44	Luke 12:40	0.783554	2	equal	και υμεισ γινεσθε ετοιμοι οτι η	και υμεισ γινεσθε ετοιμοι οτι η
51	Matt 24:44	Luke 12:40	0.783554	3	insert		ωρα
51	Matt 24:44	Luke 12:40	0.783554	4	equal	ου δοκειτε	ου δοκειτε
51	Matt 24:44	Luke 12:40	0.783554	5	delete	ωρα	
51	Matt 24:44	Luke 12:40	0.783554	6	equal	ο υιοσ του ανθρωπου ερχεται	ο υιοσ του ανθρωπου ερχεται
52	Matt 24:45	Luke 12:42	0.645371	1	insert		και ειπεν ο κυριοσ
52	Matt 24:45	Luke 12:42	0.645371	2	equal	τισ αρα εστιν ο πιστοσ	τισ αρα εστιν ο πιστοσ
52	Matt 24:45	Luke 12:42	0.645371	3	replace	δουλοσ και	οικονομοσ ο
52	Matt 24:45	Luke 12:42	0.645371	4	equal	φρονιμοσ ον	φρονιμοσ ον
52	Matt 24:45	Luke 12:42	0.645371	5	replace	κατεστησεν	καταστησει
52	Matt 24:45	Luke 12:42	0.645371	6	equal	ο κυριοσ επι τησ	ο κυριοσ επι τησ
52	Matt 24:45	Luke 12:42	0.645371	7	replace	οικετειασ	θεραπειασ
52	Matt 24:45	Luke 12:42	0.645371	8	equal	αυτου του	αυτου του
52	Matt 24:45	Luke 12:42	0.645371	9	replace	δουναι αυτοισ την τροφην	διδοναι
52	Matt 24:45	Luke 12:42	0.645371	10	equal	εν καιρω	εν καιρω
52	Matt 24:45	Luke 12:42	0.645371	11	insert		το σιτομετριον
53	Matt 24:46	Luke 12:43	0.927206	1	equal	μακαριοσ ο δουλοσ εκεινοσ ον ελθων ο κυριοσ αυτου ευρησει	μακαριοσ ο δουλοσ εκεινοσ ον ελθων ο κυριοσ αυτου ευρησει
53	Matt 24:46	Luke 12:43	0.927206	2	insert		ποιουντα
53	Matt 24:46	Luke 12:43	0.927206	3	equal	ουτωσ	ουτωσ
53	Matt 24:46	Luke 12:43	0.927206	4	delete	ποιουντα	
54	Matt 24:47	Luke 12:44	0.881552	1	replace	αμην	αληθωσ
54	Matt 24:47	Luke 12:44	0.881552	2	equal	λεγω υμιν οτι επι πασιν τοισ υπαρχουσιν αυτου καταστησει αυτον	λεγω υμιν οτι επι πασιν τοισ υπαρχουσιν αυτου καταστησει αυτον
55	Matt 24:48	Luke 12:45	0.601776	1	equal	εαν δε ειπη ο	εαν δε ειπη ο
55	Matt 24:48	Luke 12:45	0.601776	2	delete	κακοσ	
55	Matt 24:48	Luke 12:45	0.601776	3	equal	δουλοσ εκεινοσ εν τη καρδια αυτου χρονιζει	δουλοσ εκεινοσ εν τη καρδια αυτου χρονιζει
55	Matt 24:48	Luke 12:45	0.601776	4	delete	μου	
55	Matt 24:48	Luke 12:45	0.601776	5	equal	ο κυριοσ	ο κυριοσ
55	Matt 24:48	Luke 12:45	0.601776	6	insert		μου ερχεσθαι και αρξηται τυπτειν τουσ παιδασ και τασ παιδισκασ εσθιειν τε και πινειν και μεθυσκεσθαι
56	Matt 24:50	Luke 12:46	0.70232	1	equal	ηξει ο κυριοσ του δουλου εκεινου εν ημερα η ου προσδοκα και εν ωρα η ου γινωσκει	ηξει ο κυριοσ του δουλου εκεινου εν ημερα η ου προσδοκα και εν ωρα η ου γινωσκει
56	Matt 24:50	Luke 12:46	0.70232	2	insert		και διχοτομησει αυτον και το μεροσ αυτου μετα των απιστων θησει
57	Matt 24:51	Luke 13:28	0.341989	1	delete	και διχοτομησει αυτον και το μεροσ αυτου μετα των υποκριτων θησει	
57	Matt 24:51	Luke 13:28	0.341989	2	equal	εκει εσται ο κλαυθμοσ και ο βρυγμοσ των οδοντων	εκει εσται ο κλαυθμοσ και ο βρυγμοσ των οδοντων
57	Matt 24:51	Luke 13:28	0.341989	3	insert		οταν οψησθε αβρααμ και ισαακ και ιακωβ και παντασ τουσ προφητασ εν τη βασιλεια του θεου υμασ δε εκβαλλομενουσ εξω
58	Matt 25:26	Luke 19:22	0.323859	1	replace	αποκριθεισ δε ο κυριοσ αυτου ειπεν	λεγει
58	Matt 25:26	Luke 19:22	0.323859	2	equal	αυτω	αυτω
58	Matt 25:26	Luke 19:22	0.323859	3	insert		εκ του στοματοσ σου κρινω σε
58	Matt 25:26	Luke 19:22	0.323859	4	equal	πονηρε δουλε	πονηρε δουλε
58	Matt 25:26	Luke 19:22	0.323859	5	delete	και οκνηρε	
58	Matt 25:26	Luke 19:22	0.323859	6	equal	ηδεισ οτι	ηδεισ οτι
58	Matt 25:26	Luke 19:22	0.323859	7	replace	θεριζω οπου	εγω ανθρωποσ αυστηροσ ειμι αιρων ο ουκ εθηκα και θεριζων ο
58	Matt 25:26	Luke 19:22	0.323859	8	equal	ουκ εσπειρα	ουκ εσπειρα
58	Matt 25:26	Luke 19:22	0.323859	9	delete	και συναγω οθεν ου διεσκορπισα	
59	Matt 25:27	Luke 19:23	0.338249	1	replace	εδει σε ουν βαλειν τα αργυρια	και δια τι ουκ εδωκασ
59	Matt 25:27	Luke 19:23	0.338249	2	equal	μου	μου
59	Matt 25:27	Luke 19:23	0.338249	3	replace	τοισ τραπεζιταισ και	το αργυριον επι τραπεζαν καγω
59	Matt 25:27	Luke 19:23	0.338249	4	equal	ελθων	ελθων
59	Matt 25:27	Luke 19:23	0.338249	5	delete	εγω εκομισαμην αν το εμον	
59	Matt 25:27	Luke 19:23	0.338249	6	equal	συν τοκω	συν τοκω
59	Matt 25:27	Luke 19:23	0.338249	7	insert		αν αυτο επραξα
60	Matt 25:28	Luke 19:24	0.420058	1	insert		και τοισ παρεστωσιν ειπεν
60	Matt 25:28	Luke 19:24	0.420058	2	equal	αρατε	αρατε
60	Matt 25:28	Luke 19:24	0.420058	3	delete	ουν	
60	Matt 25:28	Luke 19:24	0.420058	4	equal	απ αυτου	απ αυτου
60	Matt 25:28	Luke 19:24	0.420058	5	replace	το ταλαντον	την μναν
60	Matt 25:28	Luke 19:24	0.420058	6	equal	και δοτε τω	και δοτε τω
60	Matt 25:28	Luke 19:24	0.420058	7	insert		τασ δεκα μνασ
60	Matt 25:28	Luke 19:24	0.420058	8	equal	εχοντι	εχοντι
60	Matt 25:28	Luke 19:24	0.420058	9	delete	τα δεκα ταλαντα	
61	Matt 26:16	Luke 22:6	0.371521	1	equal	και	και
61	Matt 26:16	Luke 22:6	0.371521	2	replace	απο τοτε	εξωμολογησεν και
61	Matt 26:16	Luke 22:6	0.371521	3	equal	εζητει ευκαιριαν	εζητει ευκαιριαν
61	Matt 26:16	Luke 22:6	0.371521	4	replace	ινα	του παραδουναι
61	Matt 26:16	Luke 22:6	0.371521	5	equal	αυτον	αυτον
61	Matt 26:16	Luke 22:6	0.371521	6	replace	παραδω	ατερ οχλου αυτοισ
62	Matt 26:68	Luke 22:64	0.532178	1	insert		και περικαλυψαντεσ αυτον επηρωτων
62	Matt 26:68	Luke 22:64	0.532178	2	equal	λεγοντεσ προφητευσον	λεγοντεσ προφητευσον
62	Matt 26:68	Luke 22:64	0.532178	3	delete	ημιν χριστε	
62	Matt 26:68	Luke 22:64	0.532178	4	equal	τισ εστιν ο παισασ σε	τισ εστιν ο παισασ σε
63	Matt 27:58	Luke 23:52	0.669725	1	equal	ουτοσ προσελθων τω πιλατω ητησατο το σωμα του ιησου	ουτοσ προσελθων τω πιλατω ητησατο το σωμα του ιησου
63	Matt 27:58	Luke 23:52	0.669725	2	delete	τοτε ο πιλατοσ εκελευσεν αποδοθηναι	
64	Matt 27:59	Luke 23:53	0.367064	1	equal	και	και
64	Matt 27:59	Luke 23:53	0.367064	2	replace	λαβων το σωμα ο ιωσηφ	καθελων
64	Matt 27:59	Luke 23:53	0.367064	3	equal	ενετυλιξεν αυτο σινδονι	ενετυλιξεν αυτο σινδονι
64	Matt 27:59	Luke 23:53	0.367064	4	replace	καθαρα	και εθηκεν αυτον εν μνηματι λαξευτω ου ουκ ην ουδεισ ουπω κειμενοσ
