chain_rank,source_ref,target_ref,score,max_exact_run_len,max_exact_run,shared_content_token_count,source_text_critical_status,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_surface_score,lemma_retains_or_improves_surface_signal,source_lemma_tokens_content,target_lemma_tokens_content
1,Mark 1:3,Luke 3:4,0.7358,9,φωνη βοωντοσ ερημω ετοιμασατε οδον ευθειασ ποιειτε τασ τριβουσ,9,main_text,0.6429,0.7619,0.7368,9,1.0,9,φωνη βοαω ερημοσ ετοιμαζω οδοσ κυριοσ ευθυσ ποιεω τριβοσ,9,βοαω ερημοσ ετοιμαζω ευθυσ κυριοσ οδοσ ποιεω τριβοσ φωνη,0.747,0.0112,True,φωνη βοαω ερημοσ ετοιμαζω οδοσ κυριοσ ευθυσ ποιεω τριβοσ,γραφω βιβλοσ λογοσ ησαιασ προφητησ φωνη βοαω ερημοσ ετοιμαζω οδοσ κυριοσ ευθυσ ποιεω τριβοσ
2,Mark 1:7,Luke 3:16,0.3526,3,λυσαι ιμαντα υποδηματων,7,main_text,0.4737,0.4444,0.32,9,0.8182,5,ερχομαι ισχυροσ ου ειμι ικανοσ,9,ειμι ερχομαι ικανοσ ιμασ ισχυροσ λεγω λυω ου υποδημα,0.5245,0.1719,True,κηρυσσω λεγω ερχομαι ισχυροσ ου ειμι ικανοσ κυπτω λυω ιμασ υποδημα,αποκρινομαι λεγω πασ ιωαννησ υδωρ βαπτιζω ερχομαι ισχυροσ ου ειμι ικανοσ λυω ιμασ υποδημα βαπτιζω πνευμα αγιοσ πυρ
3,Mark 1:11,Luke 3:22,0.285,3,υιοσ αγαπητοσ ευδοκησα,3,main_text,0.5385,0.3333,0.25,6,0.8571,4,ειμι υιοσ αγαπητοσ ευδοκεω,7,αγαπητοσ γινομαι ειμι ευδοκεω ουρανοσ υιοσ φωνη,0.5307,0.2457,True,φωνη γινομαι ουρανοσ ειμι υιοσ αγαπητοσ ευδοκεω,καταβαινω πνευμα αγιοσ σωματικοσ ειδοσ περιστερα φωνη ουρανοσ γινομαι ειμι υιοσ αγαπητοσ ευδοκεω
4,Mark 1:21,Luke 4:31,0.2623,2,εισ καφαρναουμ,4,main_text,0.3,0.0,0.0,2,0.3333,1,καφαρναουμ,3,διδασκω καφαρναουμ σαββατον,0.2295,-0.0328,False,εισπορευομαι καφαρναουμ ευθυσ σαββατον διδασκω συναγωγη,κατερχομαι καφαρναουμ πολισ γαλιλαια ειμι διδασκω σαββατον
5,Mark 1:22,Luke 4:32,0.2532,2,εξεπλησσοντο διδαχη,2,main_text,0.4444,0.1818,0.0,3,0.6,2,εκπλησσομαι διδαχη,4,διδαχη ειμι εκπλησσομαι εξουσια,0.3805,0.1273,True,εκπλησσομαι διδαχη ειμι διδασκω εξουσια εχω ου γραμματευσ,εκπλησσομαι διδαχη εξουσια ειμι λογοσ
6,Mark 1:23,Luke 4:33,0.2689,2,συναγωγη ανθρωποσ,3,main_text,0.5455,0.1333,0.0,5,0.7143,2,ακαθαρτοσ ανακραζω,6,ακαθαρτοσ ανακραζω ανθρωποσ ειμι πνευμα συναγωγη,0.445,0.1761,True,ευθυσ ειμι συναγωγη ανθρωποσ πνευμα ακαθαρτοσ ανακραζω,συναγωγη ειμι ανθρωποσ εχω πνευμα δαιμονιον ακαθαρτοσ ανακραζω φωνη μεγασ
7,Mark 1:24,Luke 4:34,0.9274,8,ιησου ναζαρηνε ηλθεσ απολεσαι ημασ οιδα τισ αγιοσ,8,main_text,0.8889,0.9333,0.9231,8,1.0,8,ιησουσ ναζαρηνοσ ερχομαι απολλυμι οιδα ειμι αγιοσ θεοσ,8,αγιοσ απολλυμι ειμι ερχομαι θεοσ ιησουσ ναζαρηνοσ οιδα,0.9232,-0.0042,True,λεγω ιησουσ ναζαρηνοσ ερχομαι απολλυμι οιδα ειμι αγιοσ θεοσ,ιησουσ ναζαρηνοσ ερχομαι απολλυμι οιδα ειμι αγιοσ θεοσ
8,Mark 1:25,Luke 4:35,0.5558,5,επετιμησεν αυτω ιησουσ φιμωθητι εξελθε,5,main_text,0.5,0.5714,0.5,5,1.0,5,επιτιμαω ιησουσ λεγω φιμοω εξερχομαι,5,εξερχομαι επιτιμαω ιησουσ λεγω φιμοω,0.6129,0.0571,True,επιτιμαω ιησουσ λεγω φιμοω εξερχομαι,επιτιμαω ιησουσ λεγω φιμοω εξερχομαι ριπτω δαιμονιον μεσοσ εξερχομαι μηδεισ βλαπτω
9,Mark 1:29,Luke 4:38,0.2732,3,εισ οικιαν σιμωνοσ,5,main_text,0.1765,0.1053,0.0,3,0.3333,2,οικια σιμων,3,οικια σιμων συναγωγη,0.1835,-0.0897,False,ευθυσ συναγωγη εξερχομαι ερχομαι οικια σιμων ανδρεασ ιακωβοσ ιωαννησ,ανιστημι συναγωγη εισερχομαι οικια σιμων πενθερα σιμων ειμι συνεχω πυρετοσ μεγασ ερωταω
10,Mark 1:31,Luke 4:39,0.2191,2,αφηκεν αυτην,4,main_text,0.2727,0.0,0.0,2,0.2857,1,αφιημι,3,αφιημι διακονεω πυρετοσ,0.2091,-0.01,True,προσερχομαι εγειρω κρατεω χειρ αφιημι πυρετοσ διακονεω,εφιστημι επιτιμαω πυρετοσ αφιημι παραχρημα ανιστημι διακονεω
11,Mark 1:39,Luke 4:44,0.4481,4,κηρυσσων εισ τασ συναγωγασ,4,main_text,0.2222,0.2222,0.0,2,0.5,2,κηρυσσω συναγωγη,2,κηρυσσω συναγωγη,0.2575,-0.1906,False,ερχομαι κηρυσσω συναγωγη ολοσ γαλιλαια δαιμονιον εκβαλλω,ειμι κηρυσσω συναγωγη ιουδαια
12,Mark 1:40,Luke 5:12,0.1903,3,θελησ δυνασαι καθαρισαι,3,main_text,0.1905,0.1739,0.0952,4,0.5,3,θελω δυναμαι καθαριζω,4,δυναμαι θελω καθαριζω λεγω,0.2425,0.0522,True,ερχομαι λεπροσ παρακαλεω γονυπετεω λεγω θελω δυναμαι καθαριζω,γινομαι ειμι εισ πολισ ανηρ πληρησ λεπρα οραω ιησουσ πιπτω προσωπον δεω λεγω κυριοσ θελω δυναμαι καθαριζω
13,Mark 1:41,Luke 5:13,0.4346,3,εκτεινασ χειρα ηψατο,5,main_text,0.6,0.7143,0.6667,6,0.8571,6,εκτεινω χειρ απτω λεγω θελω καθαριζω,6,απτω εκτεινω θελω καθαριζω λεγω χειρ,0.6867,0.2521,True,οργιζομαι εκτεινω χειρ απτω λεγω θελω καθαριζω,εκτεινω χειρ απτω λεγω θελω καθαριζω ευθεωσ λεπρα απερχομαι
14,Mark 1:44,Luke 5:14,0.4985,5,προσεταξεν μωυσησ εισ μαρτυριον αυτοισ,13,main_text,0.6923,0.6364,0.5,9,0.8182,7,δεικνυμι ιερευσ προσφερω καθαρισμοσ προστασσω μωυσησ μαρτυριον,9,δεικνυμι ιερευσ καθαρισμοσ λεγω μαρτυριον μηδεισ μωυσησ προστασσω προσφερω,0.6969,0.1984,True,λεγω οραω μηδεισ μηδεισ λεγω υπαγω δεικνυμι ιερευσ προσφερω καθαρισμοσ προστασσω μωυσησ μαρτυριον,παραγγελλω μηδεισ λεγω απερχομαι δεικνυμι ιερευσ προσφερω καθαρισμοσ προστασσω μωυσησ μαρτυριον
15,Mark 2:5,Luke 5:20,0.2594,1,ιδων,3,main_text,0.5556,0.3333,0.0,5,0.8333,2,πιστισ λεγω,5,αμαρτια αφιημι λεγω οραω πιστισ,0.5114,0.252,True,οραω ιησουσ πιστισ λεγω παραλυτικοσ τεκνον αφιημι αμαρτια,οραω πιστισ λεγω ανθρωποσ αφιημι αμαρτια
16,Mark 2:7,Luke 5:21,0.2599,2,τισ δυναται,6,main_text,0.3529,0.0,0.0,5,0.5556,1,λαλεω,6,αμαρτια αφιημι δυναμαι θεοσ λαλεω μη,0.2951,0.0352,True,ουτωσ λαλεω βλασφημεω δυναμαι αφιημι αμαρτια μη εισ θεοσ,αρχω διαλογιζομαι γραμματευσ φαρισαιοσ λεγω ειμι λαλεω βλασφημια δυναμαι αμαρτια αφιημι μη μονοσ θεοσ
17,Mark 2:8,Luke 5:22,0.3131,3,διαλογιζεσθε ταισ καρδιαισ,5,main_text,0.5,0.4286,0.1667,5,0.7143,3,λεγω διαλογιζομαι καρδια,5,διαλογιζομαι επιγινωσκω ιησουσ καρδια λεγω,0.5025,0.1894,True,ευθυσ επιγινωσκω ιησουσ πνευμα ουτωσ διαλογιζομαι λεγω διαλογιζομαι καρδια,επιγινωσκω ιησουσ διαλογισμοσ αποκρινομαι λεγω διαλογιζομαι καρδια
18,Mark 2:9,Luke 5:23,0.5334,3,εστιν ευκοπωτερον ειπειν,6,main_text,0.7,0.5882,0.4,8,1.0,4,αφιημι αμαρτια λεγω εγειρω,7,αμαρτια αφιημι εγειρω ειμι ευκοπωτεροσ λεγω περιπατεω,0.7039,0.1705,True,ειμι ευκοπωτεροσ λεγω παραλυτικοσ αφιημι αμαρτια λεγω εγειρω αιρω κραβαττοσ περιπατεω,ειμι ευκοπωτεροσ λεγω αφιημι αμαρτια λεγω εγειρω περιπατεω
19,Mark 2:10,Luke 5:24,0.4657,4,τησ γησ αφιεναι αμαρτιασ,9,main_text,0.5625,0.4167,0.1818,7,0.7,4,γη αφιημι αμαρτια λεγω,9,αμαρτια ανθρωποσ αφιημι γη εξουσια εχω λεγω οιδα υιοσ,0.5218,0.0561,True,οιδα εξουσια εχω υιοσ ανθρωποσ γη αφιημι αμαρτια λεγω παραλυτικοσ,οιδα υιοσ ανθρωποσ εξουσια εχω γη αφιημι αμαρτια λεγω παραλυομαι λεγω εγειρω αιρω κλινιδιον πορευομαι οικοσ
20,Mark 2:14,Luke 5:27,0.3513,4,καθημενον τελωνιον αυτω ακολουθει,5,main_text,0.3846,0.3529,0.2667,5,0.5556,4,καθημαι τελωνιον λεγω ακολουθεω,5,ακολουθεω καθημαι λεγω λευι τελωνιον,0.416,0.0647,True,παραγω οραω λευι αλφαιοσ καθημαι τελωνιον λεγω ακολουθεω ανιστημι ακολουθεω,εξερχομαι θεαομαι τελωνησ ονομα λευι καθημαι τελωνιον λεγω ακολουθεω
21,Mark 2:17,Luke 5:32,0.3263,4,καλεσαι δικαιουσ αλλα αμαρτωλουσ,4,main_text,0.3571,0.4211,0.3529,5,0.8333,5,ου ερχομαι καλεω δικαιοσ αμαρτωλοσ,5,αμαρτωλοσ δικαιοσ ερχομαι καλεω ου,0.4661,0.1398,True,ακουω ιησουσ λεγω ου χρεια εχω ισχυω ιατροσ κακωσ εχω ου ερχομαι καλεω δικαιοσ αμαρτωλοσ,ου ερχομαι καλεω δικαιοσ αμαρτωλοσ μετανοια
22,Mark 2:19,Luke 5:34,0.2553,4,νυμφωνοσ νυμφιοσ μετ εστιν,4,main_text,0.5833,0.4,0.3333,7,0.875,5,δυναμαι υιοσ νυμφων νυμφιοσ ειμι,7,δυναμαι ειμι λεγω νηστευω νυμφιοσ νυμφων υιοσ,0.584,0.3287,True,λεγω ιησουσ δυναμαι υιοσ νυμφων νυμφιοσ ειμι νηστευω χρονοσ εχω νυμφιοσ ου δυναμαι νηστευω,λεγω δυναμαι υιοσ νυμφων νυμφιοσ ειμι ποιεω νηστευω
23,Mark 2:20,Luke 5:35,0.714,7,ελευσονται ημεραι οταν απαρθη απ νυμφιοσ νηστευσουσιν,7,main_text,0.75,0.7143,0.5,7,0.875,5,απαιρω νυμφιοσ τοτε νηστευω ημερα,6,απαιρω ερχομαι ημερα νηστευω νυμφιοσ τοτε,0.7493,0.0353,True,ερχομαι ημερα οταν απαιρω νυμφιοσ τοτε νηστευω ημερα,ερχομαι ημερα και απαιρω νυμφιοσ τοτε νηστευω ημερα
24,Mark 2:21,Luke 5:36,0.1806,2,ουδεισ επιβλημα,5,main_text,0.2174,0.1212,0.0,6,0.4,2,ουδεισ επιβλημα,5,επιβλημα ιματιον καινοσ ουδεισ παλαιοσ,0.2245,0.0439,True,ουδεισ επιβλημα ρακοσ αγναφοσ επιραπτω ιματιον παλαιοσ μη αιρω πληρωμα καινοσ παλαιοσ χειρων σχισμα γινομαι,λεγω και παραβολη οτι ουδεισ επιβλημα ιματιον καινοσ σχιζω επιβαλλω ιματιον παλαιοσ μηγε καινοσ σχιζω παλαιοσ ου συμφωνεω επιβλημα καινοσ
25,Mark 2:22,Luke 5:37,0.5246,7,ουδεισ βαλλει οινον νεον εισ ασκουσ παλαιουσ,11,main_text,0.6667,0.5517,0.3704,10,0.7143,6,ουδεισ βαλλω οινοσ νεοσ ασκοσ παλαιοσ,8,απολλυμι ασκοσ βαλλω νεοσ οινοσ ουδεισ παλαιοσ ρηγνυμι,0.6333,0.1087,True,ουδεισ βαλλω οινοσ νεοσ ασκοσ παλαιοσ μη ρηγνυμι οινοσ ασκοσ οινοσ απολλυμι ασκοσ οινοσ νεοσ ασκοσ καινοσ,ουδεισ βαλλω οινοσ νεοσ ασκοσ παλαιοσ μηγε ρηγνυμι οινοσ νεοσ ασκοσ εκχεω ασκοσ απολλυμι
26,Mark 2:23,Luke 6:1,0.2138,2,τουσ σταχυασ,5,main_text,0.4286,0.1111,0.0,5,0.5,2,γινομαι σαββατον,6,γινομαι μαθητησ σαββατον σποριμοσ σταχυσ τιλλω,0.3514,0.1376,True,γινομαι σαββατον παραπορευομαι σποριμοσ μαθητησ αρχω οδοσ ποιεω τιλλω σταχυσ,γινομαι σαββατον διαπορευομαι σποριμοσ τιλλω μαθητησ εσθιω σταχυσ ψωχω χειρ
27,Mark 2:24,Luke 6:2,0.2149,2,τοισ σαββασιν,3,main_text,1.0,0.6,0.25,5,0.8333,3,φαρισαιοσ λεγω ποιεω,6,εξεστιν λεγω ου ποιεω σαββατον φαρισαιοσ,0.8047,0.5898,True,φαρισαιοσ λεγω ποιεω σαββατον ου εξεστιν,φαρισαιοσ λεγω ποιεω ου εξεστιν σαββατον
28,Mark 2:25,Luke 6:3,0.3405,3,ανεγνωτε εποιησεν δαυιδ,6,main_text,0.4167,0.2667,0.1538,5,0.625,3,αναγινωσκω ποιεω δαυιδ,5,αναγινωσκω δαυιδ λεγω πειναω ποιεω,0.4137,0.0732,True,λεγω ουδεποτε αναγινωσκω ποιεω δαυιδ χρεια εχω πειναω,αποκρινομαι λεγω ιησουσ ουδε αναγινωσκω ποιεω δαυιδ πειναω ειμι
29,Mark 2:26,Luke 6:4,0.5167,4,τουσ αρτουσ τησ προθεσεωσ,14,main_text,0.6471,0.4286,0.2308,11,0.7857,4,ου εξεστιν εσθιω μη,11,αρτοσ διδωμι εισερχομαι εξεστιν εσθιω θεοσ ιερευσ μη οικοσ ου προθεσισ,0.5941,0.0774,True,εισερχομαι οικοσ θεοσ αβιαθαρ αρχιερευσ αρτοσ προθεσισ εσθιω ου εξεστιν εσθιω μη ιερευσ διδωμι και ειμι,εισερχομαι οικοσ θεοσ αρτοσ προθεσισ λαμβανω εσθιω διδωμι ου εξεστιν εσθιω μη μονοσ ιερευσ
30,Mark 2:28,Luke 6:5,0.5355,2,κυριοσ εστιν,5,main_text,0.7143,0.4,0.0,4,0.6667,2,κυριοσ ειμι,5,ανθρωποσ ειμι κυριοσ σαββατον υιοσ,0.5744,0.0389,True,κυριοσ ειμι υιοσ ανθρωποσ και σαββατον,λεγω κυριοσ ειμι σαββατον υιοσ ανθρωποσ
31,Mark 3:1,Luke 6:6,0.2257,2,εισ συναγωγην,4,main_text,0.4,0.0,0.0,5,0.5556,1,εισερχομαι,6,ανθρωποσ ειμι εισερχομαι εκει συναγωγη χειρ,0.3211,0.0954,True,εισερχομαι παλιν συναγωγη ειμι εκει ανθρωποσ ξηραινω εχω χειρ,γινομαι ετεροσ σαββατον εισερχομαι συναγωγη διδασκω ειμι ανθρωποσ εκει χειρ δεξιοσ ειμι ξηροσ
32,Mark 3:3,Luke 6:8,0.3147,2,εισ μεσον,6,main_text,0.5,0.0,0.0,4,0.5714,1,λεγω,6,εγειρω εχω λεγω μεσοσ ξηροσ χειρ,0.3688,0.0541,True,λεγω ανθρωποσ χειρ εχω ξηροσ εγειρω μεσοσ,οιδα διαλογισμοσ λεγω ανηρ ξηροσ εχω χειρ εγειρω ιστημι μεσοσ ανιστημι ιστημι
33,Mark 3:4,Luke 6:9,0.3324,4,αγαθοποιησαι κακοποιησαι ψυχην σωσαι,5,main_text,0.5833,0.5882,0.5333,7,0.7778,6,εξεστιν σαββατον αγαθοποιεω κακοποιεω ψυχη σωζω,7,αγαθοποιεω εξεστιν κακοποιεω λεγω σαββατον σωζω ψυχη,0.6288,0.2964,True,λεγω εξεστιν σαββατον αγαθοποιεω κακοποιεω ψυχη σωζω αποκτεινω σιωπαω,λεγω ιησουσ επερωταω εξεστιν σαββατον αγαθοποιεω κακοποιεω ψυχη σωζω απολλυμι
34,Mark 3:5,Luke 6:10,0.314,2,εκτεινον χειρα,6,main_text,0.4167,0.2222,0.0,6,0.75,2,εκτεινω χειρ,5,αποκαθιστημι εκτεινω λεγω περιβλεπομαι χειρ,0.4067,0.0927,True,περιβλεπομαι οργη συλλυπεομαι πωρωσισ καρδια λεγω ανθρωποσ εκτεινω χειρ εκτεινω αποκαθιστημι χειρ,περιβλεπομαι πασ λεγω εκτεινω χειρ ποιεω αποκαθιστημι χειρ
35,Mark 3:18,Luke 6:15,0.4615,4,μαθθαιον θωμαν ιακωβον αλφαιου,5,main_text,0.4167,0.4,0.3077,5,0.7143,4,μαθθαιοσ θωμασ ιακωβοσ αλφαιοσ,5,αλφαιοσ θωμασ ιακωβοσ μαθθαιοσ σιμων,0.4684,0.0069,True,ανδρεασ φιλιπποσ βαρθολομαιοσ μαθθαιοσ θωμασ ιακωβοσ αλφαιοσ θαδδαιοσ σιμων καναναιοσ,μαθθαιοσ θωμασ ιακωβοσ αλφαιοσ σιμων καλεω ζηλωτησ
36,Mark 3:19,Luke 6:16,0.4977,3,ιουδαν ισκαριωθ οσ,3,main_text,0.2857,0.25,0.0,2,0.5,2,ιουδασ ισκαριωθ,2,ιουδασ ισκαριωθ,0.2993,-0.1984,False,ιουδασ ισκαριωθ και παραδιδωμι,ιουδασ ιακωβοσ ιουδασ ισκαριωθ γινομαι προδοτησ
37,Mark 4:4,Luke 8:5,0.3928,3,σπειρειν επεσεν οδον,5,main_text,0.4545,0.25,0.1429,5,0.7143,3,σπειρω πιπτω οδοσ,5,κατεσθιω οδοσ πετεινον πιπτω σπειρω,0.4424,0.0496,True,γινομαι σπειρω πιπτω οδοσ ερχομαι πετεινον κατεσθιω,εξερχομαι σπειρω σπειρω σποροσ σπειρω πιπτω οδοσ καταπατεω πετεινον ουρανοσ κατεσθιω
38,Mark 4:9,Luke 8:8,0.2871,3,ωτα ακουειν ακουετω,3,main_text,0.3077,0.3529,0.2667,5,1.0,4,εχω ουσ ακουω ακουω,4,ακουω εχω λεγω ουσ,0.4494,0.1623,True,λεγω εχω ουσ ακουω ακουω,ετεροσ πιπτω γη αγαθοσ φυω ποιεω καρποσ εκατονταπλασιων λεγω φωνεω εχω ουσ ακουω ακουω
39,Mark 4:11,Luke 8:10,0.2571,2,τησ βασιλειασ,5,main_text,0.4,0.0952,0.0,5,0.5556,2,βασιλεια θεοσ,6,βασιλεια διδωμι θεοσ λεγω μυστηριον παραβολη,0.3383,0.0812,True,λεγω μυστηριον διδωμι βασιλεια θεοσ εξω παραβολη πασ γινομαι,λεγω διδωμι γινωσκω μυστηριον βασιλεια θεοσ λοιποσ παραβολη βλεπω μη βλεπω ακουω μη συνιημι
40,Mark 4:15,Luke 8:12,0.1805,2,αιρει λογον,5,main_text,0.375,0.0909,0.0,5,0.4167,2,αιρω λογοσ,6,αιρω ακουω ειμι ερχομαι λογοσ οδοσ,0.2997,0.1192,True,ειμι οδοσ οπου σπειρω λογοσ ακουω ευθυσ ερχομαι σατανασ αιρω λογοσ σπειρω,οδοσ ειμι ακουω ειτα ερχομαι διαβολοσ αιρω λογοσ καρδια μη πιστευω σωζω
41,Mark 4:18,Luke 8:14,0.3391,3,εισ τασ ακανθασ,6,main_text,0.2,0.0,0.0,3,0.4286,1,ειμι,3,ακανθα ακουω ειμι,0.1907,-0.1484,False,αλλοσ ειμι ακανθα σπειρω ειμι λογοσ ακουω,ακανθα πιπτω ειμι ακουω μεριμνα πλουτοσ ηδονη βιοσ πορευομαι συμπνιγω ου τελεσφορεω
42,Mark 4:22,Luke 8:17,0.4154,2,εστιν κρυπτον,7,main_text,0.8,0.3158,0.1176,6,0.6667,3,ου ειμι κρυπτοσ,8,αποκρυφοσ γινομαι ειμι ερχομαι κρυπτοσ μη ου φανεροσ,0.6132,0.1978,True,ου ειμι κρυπτοσ μη φανεροω γινομαι αποκρυφοσ ερχομαι φανεροσ,ου ειμι κρυπτοσ ου φανεροσ γινομαι αποκρυφοσ ου μη γινωσκω φανεροσ ερχομαι
43,Mark 4:25,Luke 8:18,0.409,3,δοθησεται αυτω οσ,5,main_text,0.4,0.375,0.0,6,0.8571,2,εχω διδωμι,4,αιρω διδωμι εχω και,0.4434,0.0344,True,εχω διδωμι ου εχω και εχω αιρω,βλεπω πωσ ακουω εχω διδωμι μη εχω και δοκεω εχω αιρω
44,Mark 4:35,Luke 8:22,0.2165,3,διελθωμεν εισ περαν,3,main_text,0.4167,0.1333,0.0,3,0.5,2,διερχομαι περαν,5,γινομαι διερχομαι ημερα λεγω περαν,0.3361,0.1196,True,λεγω ημερα οψια γινομαι διερχομαι περαν,γινομαι εισ ημερα εμβαινω πλοιον μαθητησ λεγω διερχομαι περαν λιμνη αναγω
