chain_rank,source_ref,target_ref,score,max_exact_run_len,max_exact_run,shared_content_token_count,source_text_critical_status,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_surface_score,lemma_retains_or_improves_surface_signal,source_lemma_tokens_content,target_lemma_tokens_content
45,Mark 4:39,Luke 8:24,0.2751,3,διεγερθεισ επετιμησεν ανεμω,5,main_text,0.3529,0.25,0.0909,5,0.4167,3,διεγειρω επιτιμαω ανεμοσ,6,ανεμοσ γαληνη γινομαι διεγειρω επιτιμαω λεγω,0.3304,0.0553,True,διεγειρω επιτιμαω ανεμοσ λεγω θαλασσα σιωπαω φιμοω κοπαζω ανεμοσ γινομαι γαληνη μεγασ,προσερχομαι διεγειρω λεγω επιστατησ επιστατησ απολλυμι διεγειρω επιτιμαω ανεμοσ κλυδων υδωρ παυω γινομαι γαληνη
46,Mark 4:41,Luke 8:25,0.3351,6,προσ αλληλουσ τισ αρα ουτοσ εστιν,7,main_text,0.4286,0.3158,0.2353,6,0.6667,4,λεγω ειμι και ανεμοσ,6,ανεμοσ ειμι και λεγω υπακουω φοβεομαι,0.4444,0.1093,True,φοβεομαι φοβοσ μεγασ λεγω ειμι και ανεμοσ θαλασσα υπακουω,λεγω που πιστισ φοβεομαι θαυμαζω λεγω ειμι και ανεμοσ επιτασσω υδωρ υπακουω
47,Mark 5:1,Luke 8:26,0.3103,3,εισ χωραν γερασηνων,4,main_text,0.25,0.25,0.0,2,0.4,2,χωρα γερασηνοσ,2,γερασηνοσ χωρα,0.265,-0.0453,False,ερχομαι περαν θαλασσα χωρα γερασηνοσ,καταπλεω χωρα γερασηνοσ ειμι γαλιλαια
48,Mark 5:7,Luke 8:28,0.5188,6,φωνη μεγαλη εμοι ιησου υιε υψιστου,7,main_text,0.6,0.5833,0.4545,9,0.75,7,φωνη μεγασ λεγω ιησουσ υιοσ θεοσ υψιστοσ,9,βασανιζω θεοσ ιησουσ λεγω μεγασ μη υιοσ υψιστοσ φωνη,0.6188,0.1,True,κραζω φωνη μεγασ λεγω ιησουσ υιοσ θεοσ υψιστοσ ορκιζω θεοσ μη βασανιζω,οραω ιησουσ ανακραζω προσπιπτω φωνη μεγασ λεγω ιησουσ υιοσ θεοσ υψιστοσ δεομαι μη βασανιζω
49,Mark 5:11,Luke 8:32,0.2867,2,αγελη χοιρων,5,main_text,0.5455,0.25,0.0,5,0.7143,2,ειμι εκει,6,αγελη βοσκω ειμι εκει οροσ χοιροσ,0.466,0.1793,True,ειμι εκει οροσ αγελη χοιροσ μεγασ βοσκω,ειμι εκει αγελη χοιροσ ικανοσ βοσκω οροσ παρακαλεω επιτρεπω εισερχομαι επιτρεπω
50,Mark 5:13,Luke 8:33,0.4773,8,εισηλθον εισ τουσ χοιρουσ ωρμησεν αγελη κρημνου εισ,8,main_text,0.3529,0.3636,0.3,6,0.6,5,εισερχομαι χοιροσ ορμαω αγελη κρημνοσ,6,αγελη εισερχομαι εξερχομαι κρημνοσ ορμαω χοιροσ,0.4088,-0.0685,False,επιτρεπω εξερχομαι πνευμα ακαθαρτοσ εισερχομαι χοιροσ ορμαω αγελη κρημνοσ θαλασσα ωσ δισχιλιοι πνιγω θαλασσα,εξερχομαι δαιμονιον ανθρωποσ εισερχομαι χοιροσ ορμαω αγελη κρημνοσ λιμνη αποπνιγω
51,Mark 5:14,Luke 8:34,0.6361,7,εφυγον απηγγειλαν εισ πολιν εισ τουσ αγρουσ,8,main_text,0.7778,0.4286,0.3333,5,0.7143,4,φευγω απαγγελλω πολισ αγροσ,7,αγροσ απαγγελλω βοσκω γινομαι οραω πολισ φευγω,0.6489,0.0128,True,βοσκω φευγω απαγγελλω πολισ αγροσ ερχομαι οραω ειμι γινομαι,οραω βοσκω γινομαι φευγω απαγγελλω πολισ αγροσ
52,Mark 5:15,Luke 8:35,0.2136,2,ιματισμενον σωφρονουντα,5,main_text,0.3529,0.1739,0.0,6,0.6,2,ερχομαι ιησουσ,6,ερχομαι ιησουσ ιματιζω καθημαι σωφρονεω φοβεομαι,0.3386,0.125,True,ερχομαι ιησουσ θεωρεω δαιμονιζομαι καθημαι ιματιζω σωφρονεω εχω λεγιων φοβεομαι,εξερχομαι οραω γινομαι ερχομαι ιησουσ ευρισκω καθημαι ανθρωποσ δαιμονιον εξερχομαι ιματιζω σωφρονεω πουσ ιησουσ φοβεομαι
53,Mark 5:16,Luke 8:36,0.3508,3,αυτοισ ιδοντεσ πωσ,3,main_text,0.375,0.2222,0.0,3,0.6,2,οραω πωσ,3,δαιμονιζομαι οραω πωσ,0.36,0.0092,True,διηγεομαι οραω πωσ γινομαι δαιμονιζομαι χοιροσ,απαγγελλω οραω πωσ σωζω δαιμονιζομαι
54,Mark 5:20,Luke 8:39,0.3091,4,οσα εποιησεν αυτω ιησουσ,5,main_text,0.2857,0.1176,0.0,4,0.5,2,ποιεω ιησουσ,4,απερχομαι ιησουσ κηρυσσω ποιεω,0.2755,-0.0336,False,απερχομαι αρχω κηρυσσω δεκαπολισ ποιεω ιησουσ πασ θαυμαζω,υποστρεφω οικοσ διηγεομαι ποιεω θεοσ απερχομαι ολοσ πολισ κηρυσσω ποιεω ιησουσ
55,Mark 5:25,Luke 8:43,0.4181,4,γυνη ουσα ρυσει αιματοσ,5,main_text,0.4286,0.3333,0.25,5,0.8333,4,γυνη ειμι ρυσισ αιμα,6,αιμα γυνη δωδεκα ειμι ετοσ ρυσισ,0.471,0.0529,True,γυνη ειμι ρυσισ αιμα δωδεκα ετοσ,γυνη ειμι ρυσισ αιμα ετοσ δωδεκα ιατροσ προσαναλισκω ολοσ βιοσ ου ισχυω ουδεισ θεραπευω
56,Mark 5:27,Luke 8:44,0.2159,2,οπισθεν ηψατο,3,main_text,0.2308,0.1429,0.0,3,0.4286,2,οπισθεν απτω,3,απτω ιματιον οπισθεν,0.2371,0.0212,True,ακουω ιησουσ ερχομαι οχλοσ οπισθεν απτω ιματιον,προσερχομαι οπισθεν απτω κρασπεδον ιματιον παραχρημα ιστημι ρυσισ αιμα
57,Mark 5:34,Luke 8:48,0.4809,3,θυγατηρ πιστισ σεσωκεν,5,main_text,0.5,0.4615,0.3636,5,0.8333,4,λεγω θυγατηρ πιστισ σωζω,5,ειρηνη θυγατηρ λεγω πιστισ σωζω,0.5489,0.068,True,λεγω θυγατηρ πιστισ σωζω υπαγω ειρηνη ειμι υγιησ μαστιξ,λεγω θυγατηρ πιστισ σωζω πορευομαι ειρηνη
58,Mark 5:35,Luke 8:49,0.2786,2,ετι λαλουντοσ,5,main_text,0.7273,0.5556,0.375,8,0.8,5,ετι λαλεω ερχομαι αρχισυναγωγοσ λεγω,8,αρχισυναγωγοσ διδασκαλοσ ερχομαι ετι θυγατηρ λαλεω λεγω σκυλλω,0.6759,0.3973,True,ετι λαλεω ερχομαι αρχισυναγωγοσ λεγω θυγατηρ αποθνησκω ετι σκυλλω διδασκαλοσ,ετι λαλεω ερχομαι αρχισυναγωγοσ λεγω θνησκω θυγατηρ μηκετι σκυλλω διδασκαλοσ
59,Mark 5:36,Luke 8:50,0.2116,2,φοβου μονον,3,main_text,0.3846,0.375,0.2857,5,0.625,4,μη φοβεομαι μονοσ πιστευω,5,ιησουσ μη μονοσ πιστευω φοβεομαι,0.4306,0.219,True,ιησουσ παρακουω λογοσ λαλεω λεγω αρχισυναγωγοσ μη φοβεομαι μονοσ πιστευω,ιησουσ ακουω αποκρινομαι μη φοβεομαι μονοσ πιστευω σωζω
60,Mark 5:39,Luke 8:52,0.3367,3,απεθανεν αλλα καθευδει,4,main_text,0.4545,0.2667,0.1538,5,0.625,3,ου αποθνησκω καθευδω,5,αποθνησκω καθευδω κλαιω λεγω ου,0.4358,0.0991,True,εισερχομαι λεγω θορυβεω κλαιω παιδιον ου αποθνησκω καθευδω,κλαιω πασ κοπτω λεγω μη κλαιω ου αποθνησκω καθευδω
61,Mark 5:41,Luke 8:54,0.2924,3,κρατησασ τησ χειροσ,4,main_text,0.3333,0.1333,0.0,4,0.6667,2,κρατεω χειρ,4,εγειρω κρατεω λεγω χειρ,0.3307,0.0383,True,κρατεω χειρ παιδιον λεγω ταλιθα κουμ ειμι μεθερμηνευω κορασιον λεγω εγειρω,κρατεω χειρ φωνεω λεγω παισ εγειρω
62,Mark 6:7,Luke 9:1,0.1959,2,τουσ δωδεκα,4,main_text,0.2,0.0,0.0,3,0.3333,1,δωδεκα,3,διδωμι δωδεκα εξουσια,0.18,-0.0159,True,προσκαλεομαι δωδεκα αρχω αποστελλω δυο δυο διδωμι εξουσια πνευμα ακαθαρτοσ,συγκαλεω δωδεκα διδωμι δυναμισ εξουσια πασ δαιμονιον νοσοσ θεραπευω
63,Mark 6:8,Luke 9:3,0.2213,2,εισ οδον,6,main_text,0.3529,0.1667,0.0909,5,0.4167,3,μηδεισ αιρω οδοσ,6,αιρω αρτοσ μηδεισ οδοσ πηρα ραβδοσ,0.3154,0.0941,True,παραγγελλω μηδεισ αιρω οδοσ μη ραβδοσ μονοσ μη αρτοσ μη πηρα μη ζωνη χαλκοσ,λεγω μηδεισ αιρω οδοσ ραβδοσ πηρα αρτοσ αργυριον ανα δυο χιτων εχω
64,Mark 6:10,Luke 9:4,0.4342,2,εισ οικιαν,6,main_text,0.8571,0.1818,0.0,4,0.6667,2,εκει μενω,6,εισερχομαι εκει εκειθεν εξερχομαι μενω οικια,0.5946,0.1604,True,λεγω εισερχομαι οικια εκει μενω εξερχομαι εκειθεν,οικια εισερχομαι εκει μενω εκειθεν εξερχομαι
65,Mark 6:16,Luke 9:9,0.2417,1,ηρωδησ,4,main_text,0.5556,0.0,0.0,2,0.3333,1,ακουω,5,ακουω αποκεφαλιζω ηρωδησ ιωαννησ λεγω,0.3514,0.1097,True,ακουω ηρωδησ λεγω αποκεφαλιζω ιωαννησ εγειρω,λεγω ηρωδησ ιωαννησ αποκεφαλιζω ειμι ακουω ζητεω οραω
66,Mark 6:30,Luke 9:10,0.24,3,αυτω οσα εποιησαν,4,main_text,0.1333,0.0,0.0,2,0.2857,1,αποστολοσ,2,αποστολοσ ποιεω,0.1305,-0.1095,False,συναγω αποστολοσ ιησουσ απαγγελλω πασ ποιεω διδασκω,υποστρεφω αποστολοσ διηγεομαι ποιεω παραλαμβανω υποχωρεω ιδιοσ πολισ καλεω βηθσαιδα
67,Mark 6:37,Luke 9:13,0.1956,4,δοτε αυτοισ υμεισ φαγειν,5,main_text,0.2632,0.2308,0.1667,5,0.4167,4,λεγω διδωμι εσθιω λεγω,5,αγοραζω αρτοσ διδωμι εσθιω λεγω,0.2835,0.0879,True,αποκρινομαι λεγω διδωμι εσθιω λεγω απερχομαι αγοραζω δηναριον διακοσιοι αρτοσ διδωμι εσθιω,λεγω διδωμι εσθιω λεγω ου ειμι πολυσ αρτοσ πεντε ιχθυσ δυο πορευομαι αγοραζω πασ λαοσ βρωμα
68,Mark 6:41,Luke 9:16,0.6574,11,λαβων τουσ πεντε αρτουσ τουσ δυο ιχθυασ αναβλεψασ εισ ουρανον ευλογησεν,14,main_text,0.8,0.7143,0.6154,12,0.9231,9,λαμβανω πεντε αρτοσ δυο ιχθυσ αναβλεπω ουρανοσ ευλογεω κατακλαω,12,αναβλεπω αρτοσ διδωμι δυο ευλογεω ιχθυσ κατακλαω λαμβανω μαθητησ ουρανοσ παρατιθημι πεντε,0.7927,0.1353,True,λαμβανω πεντε αρτοσ δυο ιχθυσ αναβλεπω ουρανοσ ευλογεω κατακλαω αρτοσ διδωμι μαθητησ παρατιθημι δυο ιχθυσ μεριζω πασ,λαμβανω πεντε αρτοσ δυο ιχθυσ αναβλεπω ουρανοσ ευλογεω κατακλαω διδωμι μαθητησ παρατιθημι οχλοσ
69,Mark 6:42,Luke 9:17,0.2825,1,εφαγον,3,main_text,0.375,0.0,0.0,2,0.6667,1,εσθιω,3,εσθιω πασ χορταζω,0.3208,0.0383,True,εσθιω πασ χορταζω,εσθιω χορταζω πασ αιρω περισσευω κλασμα κοφινοσ δωδεκα
70,Mark 8:28,Luke 9:19,0.4221,5,ιωαννην βαπτιστην αλλοι ηλιαν αλλοι,5,main_text,0.6,0.5882,0.5333,7,0.7778,6,λεγω ιωαννησ βαπτιστησ αλλοσ ηλιασ αλλοσ,6,αλλοσ βαπτιστησ ηλιασ ιωαννησ λεγω προφητησ,0.6321,0.21,True,λεγω λεγω ιωαννησ βαπτιστησ αλλοσ ηλιασ αλλοσ εισ προφητησ,αποκρινομαι λεγω ιωαννησ βαπτιστησ αλλοσ ηλιασ αλλοσ προφητησ αρχαιοσ ανιστημι
71,Mark 8:29,Luke 9:20,0.3855,3,υμεισ λεγετε ειναι,5,main_text,0.7143,0.1429,0.0,5,0.625,2,λεγω ειμι,5,αποκρινομαι ειμι λεγω πετροσ χριστοσ,0.5198,0.1343,True,επερωταω λεγω ειμι αποκρινομαι πετροσ λεγω ειμι χριστοσ,λεγω λεγω ειμι πετροσ αποκρινομαι λεγω χριστοσ θεοσ
72,Mark 8:30,Luke 9:21,0.2098,1,αυτοισ,2,main_text,0.75,0.4,0.0,3,1.0,2,μηδεισ λεγω,3,επιτιμαω λεγω μηδεισ,0.647,0.4372,True,επιτιμαω μηδεισ λεγω,επιτιμαω παραγγελλω μηδεισ λεγω
73,Mark 8:31,Luke 9:22,0.5942,10,δει υιον ανθρωπου πολλα παθειν αποδοκιμασθηναι πρεσβυτερων αρχιερεων γραμματεων αποκτανθηναι,10,main_text,0.6111,0.6667,0.64,11,0.7857,10,δεω υιοσ ανθρωποσ πολυσ πασχω αποδοκιμαζω πρεσβυτεροσ αρχιερευσ γραμματευσ αποκτεινω,11,ανθρωποσ αποδοκιμαζω αποκτεινω αρχιερευσ γραμματευσ δεω ημερα πασχω πολυσ πρεσβυτεροσ υιοσ,0.6717,0.0775,True,αρχω διδασκω δεω υιοσ ανθρωποσ πολυσ πασχω αποδοκιμαζω πρεσβυτεροσ αρχιερευσ γραμματευσ αποκτεινω τρεισ ημερα ανιστημι,λεγω δεω υιοσ ανθρωποσ πολυσ πασχω αποδοκιμαζω πρεσβυτεροσ αρχιερευσ γραμματευσ αποκτεινω τριτοσ ημερα εγειρω
74,Mark 8:34,Luke 9:23,0.3437,3,τισ θελει οπισω,7,main_text,0.4615,0.2353,0.0,6,0.6667,2,θελω ερχομαι,6,αιρω ακολουθεω ερχομαι θελω λεγω σταυροσ,0.4203,0.0766,True,προσκαλεομαι οχλοσ μαθητησ λεγω θελω ερχομαι απαρνεομαι αιρω σταυροσ ακολουθεω,λεγω πασ θελω ερχομαι αρνεομαι αιρω σταυροσ ημερα ακολουθεω
75,Mark 8:35,Luke 9:24,0.7043,7,οσ θελη ψυχην σωσαι απολεσει αυτην οσ,9,main_text,0.8,0.7692,0.7273,7,1.0,6,θελω ψυχη σωζω απολλυμι απολλυμι ψυχη,4,απολλυμι θελω σωζω ψυχη,0.8257,0.1214,True,θελω ψυχη σωζω απολλυμι απολλυμι ψυχη ευαγγελιον σωζω,θελω ψυχη σωζω απολλυμι απολλυμι ψυχη σωζω
76,Mark 8:36,Luke 9:25,0.1847,2,κοσμον ολον,2,main_text,0.75,0.6667,0.6,6,0.8571,5,ωφελεω ανθρωποσ κερδαινω κοσμοσ ολοσ,6,ανθρωποσ ζημιοω κερδαινω κοσμοσ ολοσ ωφελεω,0.7491,0.5644,True,ωφελεω ανθρωποσ κερδαινω κοσμοσ ολοσ ζημιοω ψυχη,ωφελεω ανθρωποσ κερδαινω κοσμοσ ολοσ απολλυμι ζημιοω
77,Mark 8:38,Luke 9:26,0.689,7,υιοσ ανθρωπου επαισχυνθησεται οταν ελθη δοξη πατροσ,14,main_text,0.7143,0.5833,0.4545,10,0.9091,6,υιοσ ανθρωποσ επαισχυνομαι ερχομαι δοξα πατηρ,10,αγγελοσ αγιοσ ανθρωποσ δοξα εμοσ επαισχυνομαι ερχομαι λογοσ πατηρ υιοσ,0.6985,0.0095,True,επαισχυνομαι εμοσ λογοσ γενεα μοιχαλισ αμαρτωλοσ και υιοσ ανθρωποσ επαισχυνομαι ερχομαι δοξα πατηρ αγγελοσ αγιοσ,επαισχυνομαι εμοσ λογοσ υιοσ ανθρωποσ επαισχυνομαι ερχομαι δοξα πατηρ αγιοσ αγγελοσ
78,Mark 9:1,Luke 9:27,0.5535,5,γευσωνται θανατου εωσ ιδωσιν βασιλειαν,9,main_text,0.6667,0.5833,0.5455,10,0.8333,8,ιστημι ου μη γευομαι θανατοσ οραω βασιλεια θεοσ,10,βασιλεια γευομαι ειμι θανατοσ θεοσ ιστημι λεγω μη οραω ου,0.6807,0.1272,True,λεγω λεγω ειμι ωδε ιστημι ου μη γευομαι θανατοσ οραω βασιλεια θεοσ ερχομαι δυναμισ,λεγω αληθωσ ειμι αυτου ιστημι ου μη γευομαι θανατοσ οραω βασιλεια θεοσ
79,Mark 9:5,Luke 9:33,0.5121,6,καλον εστιν ημασ ωδε ειναι ποιησωμεν,12,main_text,0.6316,0.3889,0.2941,12,0.7059,5,καλοσ ειμι ωδε ειμι ποιεω,12,ειμι εισ ηλιασ ιησουσ καλοσ λεγω μωυσησ πετροσ ποιεω σκηνη τρεισ ωδε,0.5697,0.0576,True,αποκρινομαι πετροσ λεγω ιησουσ ραββι καλοσ ειμι ωδε ειμι ποιεω τρεισ σκηνη εισ μωυσησ εισ ηλιασ εισ,γινομαι διαχωριζομαι λεγω πετροσ ιησουσ επιστατησ καλοσ ειμι ωδε ειμι ποιεω σκηνη τρεισ εισ εισ μωυσησ εισ ηλιασ μη οραω λεγω
80,Mark 9:7,Luke 9:35,0.4558,3,ουτοσ εστιν υιοσ,8,main_text,0.6,0.25,0.0,5,0.625,2,γινομαι νεφελη,6,ακουω γινομαι ειμι νεφελη υιοσ φωνη,0.485,0.0292,True,γινομαι νεφελη επισκιαζω γινομαι φωνη νεφελη ειμι υιοσ αγαπητοσ ακουω,φωνη γινομαι νεφελη λεγω ειμι υιοσ εκλεγομαι ακουω
81,Mark 9:19,Luke 9:41,0.3995,2,γενεα απιστοσ,9,main_text,0.5385,0.3158,0.1176,7,0.7778,3,λεγω γενεα απιστοσ,7,ανεχομαι απιστοσ αποκρινομαι γενεα ειμι λεγω ποτε,0.5002,0.1007,True,αποκρινομαι λεγω γενεα απιστοσ ποτε ειμι ποτε ανεχομαι φερω,αποκρινομαι ιησουσ λεγω γενεα απιστοσ διαστρεφω ποτε ειμι ανεχομαι προσαγω ωδε υιοσ
82,Mark 9:31,Luke 9:44,0.252,3,εισ χειρασ ανθρωπων,6,main_text,0.2667,0.3,0.1111,5,0.5556,3,παραδιδωμι χειρ ανθρωποσ,4,ανθρωποσ παραδιδωμι υιοσ χειρ,0.3215,0.0695,True,διδασκω μαθητησ λεγω υιοσ ανθρωποσ παραδιδωμι χειρ ανθρωποσ αποκτεινω αποκτεινω τρεισ ημερα ανιστημι,τιθημι ουσ λογοσ υιοσ ανθρωποσ μελλω παραδιδωμι χειρ ανθρωποσ
83,Mark 9:32,Luke 9:45,0.3189,2,ηγνοουν ρημα,3,main_text,0.3333,0.1818,0.0,3,0.75,2,αγνοεω ρημα,3,αγνοεω ρημα φοβεομαι,0.3536,0.0347,True,αγνοεω ρημα φοβεομαι επερωταω,αγνοεω ρημα ειμι παρακαλυπτομαι μη αισθανομαι φοβεομαι ερωταω ρημα
84,Mark 9:37,Luke 9:48,0.3581,5,ονοματι εμε δεχεται οσ εμε,6,main_text,0.3333,0.3,0.1111,6,0.6667,3,ονομα δεχομαι δεχομαι,4,αποστελλω δεχομαι ονομα παιδιον,0.374,0.0159,True,εισ παιδιον δεχομαι ονομα δεχομαι δεχομαι ου δεχομαι αποστελλω,λεγω δεχομαι παιδιον ονομα δεχομαι δεχομαι δεχομαι αποστελλω μικροσ πασ υπαρχω ειμι μεγασ
85,Mark 9:38,Luke 9:49,0.4611,5,ειδομεν ονοματι εκβαλλοντα δαιμονια εκωλυομεν,6,main_text,0.6154,0.6316,0.5882,8,0.8,7,οραω ονομα εκβαλλω δαιμονιον κωλυω ου ακολουθεω,8,ακολουθεω δαιμονιον εκβαλλω ιωαννησ κωλυω ονομα οραω ου,0.6632,0.2021,True,φημι ιωαννησ διδασκαλοσ οραω ονομα εκβαλλω δαιμονιον κωλυω ου ακολουθεω,αποκρινομαι ιωαννησ λεγω επιστατησ οραω ονομα εκβαλλω δαιμονιον κωλυω ου ακολουθεω
86,Mark 9:40,Luke 9:50,0.6657,4,οσ εστιν καθ εστιν,3,main_text,0.3333,0.5,0.3333,3,1.0,3,ου ειμι ειμι,2,ειμι ου,0.4967,-0.169,False,ου ειμι ειμι,λεγω ιησουσ μη κωλυω ου ειμι ειμι
87,Mark 9:50,Luke 14:34,0.2981,3,καλον αλασ αλασ,2,main_text,0.3,0.1538,0.0,4,0.6667,2,καλοσ αλασ,3,αλασ αρτυω καλοσ,0.3185,0.0204,True,καλοσ αλασ αλασ αναλοσ γινομαι αρτυω εχω αλα ειρηνευω,καλοσ αλασ και αλασ μωραινω αρτυω
88,Mark 10:5,Luke 15:3,0.1986,1,προσ,2,main_text,0.1667,0.0,0.0,1,0.3333,1,λεγω,1,λεγω,0.1533,-0.0453,False,ιησουσ λεγω σκληροκαρδια γραφω εντολη,λεγω παραβολη λεγω
89,Mark 10:8,Luke 17:35,0.2058,2,εσονται δυο,3,main_text,0.3,0.1333,0.0,3,0.375,2,ειμι δυο,3,δυο ειμι εισ,0.2565,0.0507,True,ειμι δυο σαρξ εισ ουκετι ειμι δυο εισ σαρξ,ειμι δυο αληθω αυτοσ εισ παραλαμβανω ετεροσ αφιημι
90,Mark 10:13,Luke 18:15,0.3033,2,προσεφερον αυτω,4,main_text,0.5,0.2,0.0,4,0.8,2,μαθητησ επιτιμαω,4,απτω επιτιμαω μαθητησ προσφερω,0.4531,0.1498,True,προσφερω παιδιον απτω μαθητησ επιτιμαω,προσφερω και βρεφοσ απτω οραω μαθητησ επιτιμαω
