chain_rank,source_ref,target_ref,score,max_exact_run_len,max_exact_run,shared_content_token_count,source_text_critical_status,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_surface_score,lemma_retains_or_improves_surface_signal,source_lemma_tokens_content,target_lemma_tokens_content
135,Mark 12:20,Luke 20:29,0.4402,4,επτα αδελφοι ησαν πρωτοσ,5,main_text,0.6364,0.75,0.7143,7,0.875,7,επτα αδελφοσ ειμι πρωτοσ λαμβανω γυνη αποθνησκω,7,αδελφοσ αποθνησκω γυνη ειμι επτα λαμβανω πρωτοσ,0.7203,0.2801,True,επτα αδελφοσ ειμι πρωτοσ λαμβανω γυνη αποθνησκω ου αφιημι σπερμα,επτα αδελφοσ ειμι πρωτοσ λαμβανω γυνη αποθνησκω ατεκνοσ
136,Mark 12:21,Luke 20:31,0.2592,2,ελαβεν αυτην,4,main_text,0.4167,0.0,0.0,2,0.25,1,λαμβανω,5,αποθνησκω καταλειπω λαμβανω τριτοσ ωσαυτωσ,0.2722,0.013,True,δευτεροσ λαμβανω αποθνησκω μη καταλειπω σπερμα τριτοσ ωσαυτωσ,τριτοσ λαμβανω ωσαυτωσ και επτα ου καταλειπω τεκνον αποθνησκω
137,Mark 12:22,Luke 20:32,0.3507,2,γυνη απεθανεν,2,main_text,0.3,0.3636,0.2222,3,0.75,3,και γυνη αποθνησκω,3,αποθνησκω γυνη και,0.3955,0.0448,True,επτα ου αφιημι σπερμα εσχατοσ πασ και γυνη αποθνησκω,υστεροσ και γυνη αποθνησκω
138,Mark 12:23,Luke 20:33,0.5931,5,γυνη επτα εσχον αυτην γυναικα,7,main_text,0.5,0.4615,0.3636,5,0.7143,4,γυνη επτα εχω γυνη,4,αναστασισ γυνη επτα εχω,0.5267,-0.0664,False,αναστασισ οταν ανιστημι ειμι γυνη επτα εχω γυνη,γυνη αναστασισ γινομαι γυνη επτα εχω γυνη
139,Mark 12:25,Luke 20:35,0.2683,4,ουτε γαμουσιν ουτε γαμιζονται,4,main_text,0.2727,0.1667,0.0,3,0.4286,2,γαμεω γαμιζω,3,γαμεω γαμιζω νεκροσ,0.2677,-0.0006,True,νεκροσ ανιστημι γαμεω γαμιζω ειμι αγγελοσ ουρανοσ,καταξιοω αιων τυγχανω αναστασισ νεκροσ γαμεω γαμιζω
140,Mark 12:26,Luke 20:37,0.1809,1,εγειρονται,5,main_text,0.6,0.4286,0.3077,10,0.7143,6,θεοσ αβρααμ θεοσ ισαακ θεοσ ιακωβ,9,αβρααμ βατοσ εγειρω θεοσ ιακωβ ισαακ λεγω μωυσησ νεκροσ,0.5719,0.391,True,νεκροσ εγειρω ου αναγινωσκω βιβλοσ μωυσησ βατοσ λεγω θεοσ λεγω θεοσ αβρααμ θεοσ ισαακ θεοσ ιακωβ,εγειρω νεκροσ και μωυσησ μηνυω βατοσ λεγω κυριοσ θεοσ αβρααμ θεοσ ισαακ θεοσ ιακωβ
141,Mark 12:27,Luke 20:38,0.4313,3,νεκρων αλλα ζωντων,5,main_text,0.625,0.3333,0.0,4,0.5714,2,ου ειμι,5,ειμι ζαω θεοσ νεκροσ ου,0.4957,0.0644,True,ου ειμι θεοσ νεκροσ ζαω πολυσ πλαναω,θεοσ ου ειμι νεκροσ ζαω πασ ζαω
142,Mark 12:35,Luke 20:41,0.1898,2,πωσ λεγουσιν,3,main_text,0.5455,0.1176,0.0,5,0.7143,2,πωσ λεγω,6,δαυιδ ειμι λεγω πωσ υιοσ χριστοσ,0.4368,0.247,True,αποκρινομαι ιησουσ λεγω διδασκω ιεροσ πωσ λεγω γραμματευσ χριστοσ υιοσ δαυιδ ειμι,λεγω πωσ λεγω χριστοσ ειμι δαυιδ υιοσ
143,Mark 12:36,Luke 20:43,0.4326,4,εωσ θω τουσ εχθρουσ,5,main_text,0.2727,0.1429,0.0,3,0.75,2,τιθημι εχθροσ,3,εχθροσ πουσ τιθημι,0.3148,-0.1178,False,δαυιδ λεγω πνευμα αγιοσ λεγω κυριοσ κυριοσ καθημαι δεξιοσ τιθημι εχθροσ πουσ,τιθημι εχθροσ υποποδιον πουσ
144,Mark 12:37,Luke 20:44,0.2839,2,δαυιδ κυριον,4,main_text,0.3333,0.0,0.0,3,0.5,1,δαυιδ,4,δαυιδ ειμι κυριοσ υιοσ,0.2733,-0.0106,True,δαυιδ λεγω κυριοσ ποθεν ειμι υιοσ πολυσ οχλοσ ακουω ηδεωσ,δαυιδ κυριοσ καλεω πωσ υιοσ ειμι
145,Mark 12:39,Luke 20:46,0.5933,6,πρωτοκαθεδριασ ταισ συναγωγαισ πρωτοκλισιασ τοισ δειπνοισ,6,main_text,0.3333,0.4286,0.3333,4,1.0,4,πρωτοκαθεδρια συναγωγη πρωτοκλισια δειπνον,4,δειπνον πρωτοκαθεδρια πρωτοκλισια συναγωγη,0.4838,-0.1095,False,πρωτοκαθεδρια συναγωγη πρωτοκλισια δειπνον,προσεχω γραμματευσ θελω περιπατεω στολη φιλεω ασπασμοσ αγορα πρωτοκαθεδρια συναγωγη πρωτοκλισια δειπνον
146,Mark 12:40,Luke 20:47,0.6735,5,τασ οικιασ χηρων προφασει μακρα,9,main_text,1.0,1.0,1.0,9,1.0,9,κατεσθιω οικια χηρα προφασισ μακροσ προσευχομαι λαμβανω περισσοτεροσ κριμα,9,κατεσθιω κριμα λαμβανω μακροσ οικια περισσοτεροσ προσευχομαι προφασισ χηρα,1.0,0.3265,True,κατεσθιω οικια χηρα προφασισ μακροσ προσευχομαι λαμβανω περισσοτεροσ κριμα,κατεσθιω οικια χηρα προφασισ μακροσ προσευχομαι λαμβανω περισσοτεροσ κριμα
147,Mark 12:43,Luke 21:3,0.5052,5,λεγω χηρα πτωχη πλειον εβαλεν,5,main_text,0.6,0.5882,0.5333,7,0.875,6,λεγω χηρα πτωχοσ πολυσ πασ βαλλω,6,βαλλω λεγω πασ πολυσ πτωχοσ χηρα,0.6515,0.1463,True,προσκαλεομαι μαθητησ λεγω λεγω χηρα πτωχοσ πολυσ πασ βαλλω βαλλω γαζοφυλακιον,λεγω αληθωσ λεγω χηρα πτωχοσ πολυσ πασ βαλλω
148,Mark 12:44,Luke 21:4,0.3993,3,περισσευοντοσ αυτοισ εβαλον,8,main_text,0.5556,0.375,0.1429,6,0.6667,3,πασ περισσευω βαλλω,5,βαλλω βιοσ εχω πασ περισσευω,0.5116,0.1123,True,πασ περισσευω βαλλω υστερησισ πασ εχω βαλλω ολοσ βιοσ,πασ περισσευω βαλλω δωρον υστερημα πασ βιοσ εχω βαλλω
149,Mark 13:4,Luke 21:7,0.67,7,ποτε ταυτα εσται σημειον οταν μελλη ταυτα,6,main_text,0.5,0.4615,0.3636,5,0.7143,4,ποτε ειμι σημειον μελλω,5,ειμι λεγω μελλω ποτε σημειον,0.5321,-0.1379,False,λεγω ποτε ειμι σημειον μελλω συντελεω πασ,επερωταω λεγω διδασκαλοσ ποτε ειμι σημειον μελλω γινομαι
150,Mark 13:6,Luke 21:8,0.4912,5,πολλοι ελευσονται ονοματι λεγοντεσ ειμι,5,main_text,0.5455,0.4706,0.4,5,0.7143,5,πολυσ ερχομαι ονομα λεγω ειμι,6,ειμι ερχομαι λεγω ονομα πλαναω πολυσ,0.5483,0.0571,True,πολυσ ερχομαι ονομα λεγω ειμι πολυσ πλαναω,λεγω βλεπω πλαναω πολυσ ερχομαι ονομα λεγω ειμι καιροσ εγγιζω μη πορευομαι
151,Mark 13:7,Luke 21:9,0.3713,3,οταν ακουσητε πολεμουσ,7,main_text,0.4286,0.2105,0.0,6,0.6,2,ακουω πολεμοσ,6,ακουω γινομαι δεω μη πολεμοσ τελοσ,0.3839,0.0126,True,ακουω πολεμοσ ακοη πολεμοσ μη θροεομαι δεω γινομαι ουπω τελοσ,ακουω πολεμοσ ακαταστασια μη πτοεομαι δεω γινομαι πρωτοσ ου ευθεωσ τελοσ
152,Mark 13:8,Luke 21:10,0.5385,6,εγερθησεται εθνοσ επ εθνοσ βασιλεια βασιλειαν,5,main_text,0.2727,0.4706,0.4,5,0.7143,5,εγειρω εθνοσ εθνοσ βασιλεια βασιλεια,3,βασιλεια εγειρω εθνοσ,0.418,-0.1205,False,εγειρω εθνοσ εθνοσ βασιλεια βασιλεια ειμι σεισμοσ τοποσ ειμι λιμοσ αρχη ωδιν,τοτε λεγω εγειρω εθνοσ εθνοσ βασιλεια βασιλεια
153,Mark 13:9,Luke 21:13,0.2391,2,εισ μαρτυριον,2,main_text,0.1,0.0,0.0,1,0.5,1,μαρτυριον,1,μαρτυριον,0.1511,-0.088,False,βλεπω παραδιδωμι συνεδριον συναγωγη δερω ηγεμων βασιλευσ ιστημι μαρτυριον,αποβαινω μαρτυριον
154,Mark 13:13,Luke 21:17,0.5382,3,εσεσθε μισουμενοι ονομα,3,main_text,0.5714,0.6667,0.5714,4,1.0,4,ειμι μισεω πασ ονομα,4,ειμι μισεω ονομα πασ,0.6743,0.1361,True,ειμι μισεω πασ ονομα υπομενω τελοσ σωζω,ειμι μισεω πασ ονομα
155,Mark 13:14,Luke 21:21,0.2382,4,ιουδαια φευγετωσαν εισ ορη,4,main_text,0.2353,0.3158,0.2353,4,0.4444,4,τοτε ιουδαια φευγω οροσ,4,ιουδαια οροσ τοτε φευγω,0.3014,0.0632,True,οραω βδελυγμα ερημωσισ ιστημι ου δεω αναγινωσκω νοεω τοτε ιουδαια φευγω οροσ,τοτε ιουδαια φευγω οροσ μεσοσ εκχωρεω χωρα μη εισερχομαι
156,Mark 13:17,Luke 21:23,0.658,9,ουαι ταισ γαστρι εχουσαισ ταισ θηλαζουσαισ εκειναισ ταισ ημεραισ,7,main_text,0.4,0.5,0.4,4,1.0,4,γαστηρ εχω θηλαζω ημερα,4,γαστηρ εχω ημερα θηλαζω,0.538,-0.12,False,γαστηρ εχω θηλαζω ημερα,γαστηρ εχω θηλαζω ημερα ειμι αναγκη μεγασ γη οργη λαοσ
157,Mark 13:26,Luke 21:27,0.663,4,οψονται υιον ανθρωπου ερχομενον,7,main_text,1.0,0.75,0.7143,8,0.8889,7,τοτε οραω υιοσ ανθρωποσ ερχομαι νεφελη δυναμισ,9,ανθρωποσ δοξα δυναμισ ερχομαι νεφελη οραω πολυσ τοτε υιοσ,0.8985,0.2355,True,τοτε οραω υιοσ ανθρωποσ ερχομαι νεφελη δυναμισ πολυσ δοξα,τοτε οραω υιοσ ανθρωποσ ερχομαι νεφελη δυναμισ δοξα πολυσ
158,Mark 13:28,Luke 21:30,0.2829,3,εγγυσ θεροσ εστιν,6,main_text,0.3333,0.2105,0.1176,5,0.625,3,εγγυσ θεροσ ειμι,5,γινωσκω εγγυσ ειμι ηδη θεροσ,0.3488,0.0659,True,συκη μανθανω παραβολη ηδη κλαδοσ απαλοσ γινομαι εκφυω φυλλον γινωσκω εγγυσ θεροσ ειμι,προβαλλω ηδη βλεπω γινωσκω ηδη εγγυσ θεροσ ειμι
159,Mark 13:29,Luke 21:31,0.8569,9,ουτωσ υμεισ οταν ιδητε ταυτα γινομενα γινωσκετε εγγυσ εστιν,9,main_text,0.7,0.8,0.7692,7,0.875,7,ουτωσ και οραω γινομαι γινωσκω εγγυσ ειμι,7,γινομαι γινωσκω εγγυσ ειμι και οραω ουτωσ,0.7691,-0.0878,False,ουτωσ και οραω γινομαι γινωσκω εγγυσ ειμι θυρα,ουτωσ και οραω γινομαι γινωσκω εγγυσ ειμι βασιλεια θεοσ
160,Mark 13:30,Luke 21:32,0.6264,4,αμην λεγω παρελθη γενεα,5,main_text,1.0,1.0,1.0,7,1.0,7,λεγω ου μη παρερχομαι γενεα πασ γινομαι,7,γενεα γινομαι λεγω μη ου παρερχομαι πασ,1.0,0.3736,True,λεγω ου μη παρερχομαι γενεα πασ γινομαι,λεγω ου μη παρερχομαι γενεα πασ γινομαι
161,Mark 13:31,Luke 21:33,1.0,5,ουρανοσ γη παρελευσονται λογοι παρελευσονται,4,main_text,1.0,1.0,1.0,7,1.0,7,ουρανοσ γη παρερχομαι λογοσ ου μη παρερχομαι,6,γη λογοσ μη ου ουρανοσ παρερχομαι,1.0,0.0,True,ουρανοσ γη παρερχομαι λογοσ ου μη παρερχομαι,ουρανοσ γη παρερχομαι λογοσ ου μη παρερχομαι
162,Mark 14:1,Luke 22:2,0.3728,4,εζητουν αρχιερεισ γραμματεισ πωσ,4,main_text,0.2667,0.3529,0.2667,4,0.5714,4,ζητεω αρχιερευσ γραμματευσ πωσ,4,αρχιερευσ γραμματευσ ζητεω πωσ,0.3498,-0.023,False,ειμι πασχα αζυμοσ δυο ημερα ζητεω αρχιερευσ γραμματευσ πωσ δολοσ κρατεω αποκτεινω,ζητεω αρχιερευσ γραμματευσ πωσ αναιρεω φοβεομαι λαοσ
163,Mark 14:11,Luke 22:5,0.4211,3,αυτω αργυριον δουναι,4,main_text,0.3,0.1818,0.0,3,0.75,2,αργυριον διδωμι,3,αργυριον διδωμι χαιρω,0.3361,-0.085,False,ακουω χαιρω επαγγελλομαι αργυριον διδωμι ζητεω πωσ ευκαιρωσ παραδιδωμι,χαιρω συντιθεμαι αργυριον διδωμι
164,Mark 14:12,Luke 22:9,0.3013,2,που θελεισ,4,main_text,0.3077,0.125,0.0,4,1.0,2,που θελω,4,ετοιμαζω θελω λεγω που,0.3763,0.075,True,πρωτοσ ημερα αζυμοσ οτε πασχα θυω λεγω μαθητησ που θελω απερχομαι ετοιμαζω εσθιω πασχα,λεγω που θελω ετοιμαζω
165,Mark 14:13,Luke 22:10,0.4664,6,ανθρωποσ κεραμιον υδατοσ βασταζων ακολουθησατε αυτω,9,main_text,0.4375,0.381,0.3158,7,0.6364,5,ανθρωποσ κεραμιον υδωρ βασταζω ακολουθεω,7,ακολουθεω ανθρωποσ βασταζω κεραμιον λεγω πολισ υδωρ,0.4671,0.0007,True,αποστελλω δυο μαθητησ λεγω υπαγω πολισ απανταω ανθρωποσ κεραμιον υδωρ βασταζω ακολουθεω,λεγω εισερχομαι πολισ συνανταω ανθρωποσ κεραμιον υδωρ βασταζω ακολουθεω οικια εισπορευομαι
166,Mark 14:14,Luke 22:11,0.6555,8,διδασκαλοσ που εστιν καταλυμα οπου πασχα μαθητων φαγω,9,main_text,0.8333,0.6364,0.5,10,0.8333,7,που ειμι καταλυμα οπου πασχα μαθητησ εσθιω,10,διδασκαλοσ ειμι εσθιω καταλυμα λεγω μαθητησ οικοδεσποτησ οπου πασχα που,0.7655,0.11,True,εισερχομαι λεγω οικοδεσποτησ διδασκαλοσ λεγω που ειμι καταλυμα οπου πασχα μαθητησ εσθιω,λεγω οικοδεσποτησ οικια λεγω διδασκαλοσ που ειμι καταλυμα οπου πασχα μαθητησ εσθιω
167,Mark 14:15,Luke 22:12,0.6457,4,δειξει αναγαιον μεγα εστρωμενον,6,main_text,0.8571,0.7273,0.4444,6,1.0,4,δεικνυμι αναγαιον μεγασ στρωννυμι,6,αναγαιον δεικνυμι εκει ετοιμαζω μεγασ στρωννυμι,0.8128,0.1671,True,δεικνυμι αναγαιον μεγασ στρωννυμι ετοιμοσ εκει ετοιμαζω,δεικνυμι αναγαιον μεγασ στρωννυμι εκει ετοιμαζω
168,Mark 14:16,Luke 22:13,0.4327,3,αυτοισ ητοιμασαν πασχα,5,main_text,0.4444,0.5455,0.4444,4,0.8,4,ευρισκω λεγω ετοιμαζω πασχα,4,ετοιμαζω ευρισκω λεγω πασχα,0.5393,0.1066,True,εξερχομαι μαθητησ ερχομαι πολισ ευρισκω λεγω ετοιμαζω πασχα,απερχομαι ευρισκω λεγω ετοιμαζω πασχα
169,Mark 14:22,Luke 22:19,0.446,3,εκλασεν εδωκεν αυτοισ,8,main_text,0.5385,0.4,0.1111,7,0.7,3,κλαω διδωμι λεγω,7,αρτοσ διδωμι ειμι κλαω λαμβανω λεγω σωμα,0.5044,0.0584,True,εσθιω λαμβανω αρτοσ ευλογεω κλαω διδωμι λεγω λαμβανω ειμι σωμα,λαμβανω αρτοσ ευχαριστεω κλαω διδωμι λεγω ειμι σωμα διδωμι ποιεω εμοσ αναμνησισ
170,Mark 14:26,Luke 22:39,0.3577,3,εισ οροσ ελαιων,3,main_text,0.3333,0.2,0.0,3,0.75,2,οροσ ελαια,3,ελαια εξερχομαι οροσ,0.3568,-0.0009,True,υμνεω εξερχομαι οροσ ελαια,εξερχομαι πορευομαι εθοσ οροσ ελαια ακολουθεω και μαθητησ
171,Mark 14:36,Luke 22:42,0.2811,2,απ εμου,6,main_text,0.2857,0.125,0.0,4,0.4444,2,παραφερω ποτηριον,4,λεγω παραφερω πατηρ ποτηριον,0.2701,-0.011,True,λεγω αββα πατηρ πασ δυνατοσ παραφερω ποτηριον ου θελω,λεγω πατηρ βουλομαι παραφερω ποτηριον μη θελημα σοσ γινομαι
172,Mark 14:38,Luke 22:46,0.2234,2,εισ πειρασμον,3,main_text,0.2308,0.1429,0.0,3,0.4286,2,προσευχομαι μη,3,μη πειρασμοσ προσευχομαι,0.2371,0.0137,True,γρηγορεω προσευχομαι μη ερχομαι πειρασμοσ πνευμα προθυμοσ σαρξ ασθενησ,λεγω καθευδω ανιστημι προσευχομαι μη εισερχομαι πειρασμοσ
173,Mark 14:43,Luke 22:47,0.2642,3,ιουδασ εισ δωδεκα,6,main_text,0.3333,0.2727,0.1,5,0.4545,3,ιουδασ εισ δωδεκα,6,δωδεκα εισ ετι ιουδασ λαλεω οχλοσ,0.3315,0.0673,True,ευθυσ ετι λαλεω παραγινομαι ιουδασ εισ δωδεκα οχλοσ μαχαιρα ξυλον αρχιερευσ γραμματευσ πρεσβυτεροσ,ετι λαλεω οχλοσ λεγω ιουδασ εισ δωδεκα προερχομαι εγγιζω ιησουσ φιλεω
174,Mark 14:47,Luke 22:50,0.2941,2,εισ τισ,5,main_text,0.3333,0.0,0.0,3,0.4286,1,εισ,4,αρχιερευσ αφαιρεω δουλοσ εισ,0.2635,-0.0306,False,εισ παριστημι σπαομαι μαχαιρα παιω δουλοσ αρχιερευσ αφαιρεω ωταριον,πατασσω εισ αρχιερευσ δουλοσ αφαιρεω ουσ δεξιοσ
175,Mark 14:48,Luke 22:52,0.4226,5,ωσ ληστην εξηλθατε μαχαιρων ξυλων,6,main_text,0.4615,0.3529,0.2667,5,0.625,4,ληστησ εξερχομαι μαχαιρα ξυλον,6,εξερχομαι ιησουσ λεγω ληστησ μαχαιρα ξυλον,0.4597,0.0371,True,αποκρινομαι ιησουσ λεγω ληστησ εξερχομαι μαχαιρα ξυλον συλλαμβανω,λεγω ιησουσ παραγινομαι αρχιερευσ στρατηγοσ ιεροσ πρεσβυτεροσ ληστησ εξερχομαι μαχαιρα ξυλον
176,Mark 14:72,Luke 22:61,0.2781,3,πριν αλεκτορα φωνησαι,8,main_text,0.3043,0.125,0.0667,6,0.3529,3,πριν αλεκτωρ φωνεω,7,αλεκτωρ απαρνεομαι λεγω πετροσ πριν τρισ φωνεω,0.2695,-0.0086,True,ευθυσ δευτεροσ αλεκτωρ φωνεω αναμιμνησκω πετροσ ρημα λεγω ιησουσ πριν αλεκτωρ φωνεω δισ τρισ απαρνεομαι επιβαλλω κλαιω,στρεφω κυριοσ εμβλεπω πετροσ υπομιμνησκω πετροσ λογοσ κυριοσ ωσ λεγω οτι πριν αλεκτωρ φωνεω σημερον απαρνεομαι τρισ
177,Mark 15:2,Luke 23:3,0.6114,4,βασιλευσ ιουδαιων αποκριθεισ αυτω,6,main_text,0.6667,0.4,0.3077,6,0.75,4,ειμι βασιλευσ ιουδαιοσ αποκρινομαι,6,αποκρινομαι βασιλευσ ειμι ιουδαιοσ λεγω πιλατοσ,0.6006,-0.0108,True,επερωταω πιλατοσ ειμι βασιλευσ ιουδαιοσ αποκρινομαι λεγω λεγω,πιλατοσ ερωταω λεγω ειμι βασιλευσ ιουδαιοσ αποκρινομαι φημι λεγω
178,Mark 15:21,Luke 23:26,0.3451,5,σιμωνα κυρηναιον ερχομενον απ αγρου,6,main_text,0.3125,0.3158,0.2353,5,0.5,4,σιμων κυρηναιοσ ερχομαι αγροσ,5,αγροσ ερχομαι κυρηναιοσ σιμων σταυροσ,0.3555,0.0104,True,αγγαρευω παραγω σιμων κυρηναιοσ ερχομαι αγροσ πατηρ αλεξανδροσ ρουφοσ αιρω σταυροσ,απαγω επιλαμβανομαι σιμων κυρηναιοσ ερχομαι αγροσ επιτιθημι σταυροσ φερω ιησουσ
179,Mark 15:26,Luke 23:38,0.3,2,βασιλευσ ιουδαιων,3,main_text,0.5714,0.2222,0.0,4,0.8,2,βασιλευσ ιουδαιοσ,4,βασιλευσ ειμι επιγραφη ιουδαιοσ,0.4952,0.1952,True,ειμι επιγραφη αιτια επιγραφω βασιλευσ ιουδαιοσ,ειμι και επιγραφη βασιλευσ ιουδαιοσ
180,Mark 15:30,Luke 23:39,0.2433,2,σωσον σεαυτον,2,main_text,0.1,0.0,0.0,1,0.3333,1,σωζω,1,σωζω,0.1192,-0.1241,False,σωζω καταβαινω σταυροσ,εισ κρεμαννυμι κακουργοσ βλασφημεω λεγω ειμι χριστοσ σωζω
181,Mark 15:33,Luke 23:44,0.6525,8,σκοτοσ εγενετο εφ ολην γην εωσ ωρασ ενατησ,8,main_text,0.7,0.7778,0.75,8,0.8889,8,ωρα εκτοσ σκοτοσ γινομαι ολοσ γη ωρα ενατοσ,7,γη γινομαι εκτοσ ενατοσ ολοσ σκοτοσ ωρα,0.7578,0.1053,True,γινομαι ωρα εκτοσ σκοτοσ γινομαι ολοσ γη ωρα ενατοσ,ειμι ηδη ωσει ωρα εκτοσ σκοτοσ γινομαι ολοσ γη ωρα ενατοσ
182,Mark 15:38,Luke 23:45,0.229,2,καταπετασμα ναου,3,main_text,0.3333,0.2,0.0,2,0.3333,2,καταπετασμα ναοσ,3,καταπετασμα ναοσ σχιζω,0.286,0.057,True,καταπετασμα ναοσ σχιζω δυο ανωθεν κατω,ηλιοσ εκλειπω σχιζω καταπετασμα ναοσ μεσοσ
183,Mark 15:43,Luke 23:52,0.2566,3,ητησατο σωμα ιησου,3,main_text,0.2353,0.3158,0.2353,4,0.8,4,πιλατοσ αιτεω σωμα ιησουσ,4,αιτεω ιησουσ πιλατοσ σωμα,0.3642,0.1076,True,ερχομαι ιωσηφ αριμαθαια ευσχημων βουλευτησ και ειμι προσδεχομαι βασιλεια θεοσ τολμαω εισερχομαι πιλατοσ αιτεω σωμα ιησουσ,προσερχομαι πιλατοσ αιτεω σωμα ιησουσ
