chain_rank,source_book,source_ref,source_idx,target_book,target_ref,target_idx,source_token_count,target_token_count,score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens,source_text_critical_status
1,Mark,Mark 1:3,3,Luke,Luke 3:4,136,9,15,0.7358,0.6,0.6,0.7273,0.7,0.6066,9,1.0,9,φωνη βοωντοσ ερημω ετοιμασατε οδον ευθειασ ποιειτε τασ τριβουσ,9,βοωντοσ ερημω ετοιμασατε ευθειασ οδον ποιειτε τασ τριβουσ φωνη,main_text
2,Mark,Mark 1:7,7,Luke,Luke 3:16,148,10,19,0.3526,0.3333,0.3333,0.2963,0.08,0.34,7,0.7,3,λυσαι ιμαντα υποδηματων,7,ειμι ερχεται ικανοσ ιμαντα ισχυροτεροσ λυσαι υποδηματων,main_text
3,Mark,Mark 1:11,11,Luke,Luke 3:22,154,6,14,0.285,0.1765,0.3333,0.2222,0.125,0.1789,3,0.5,3,υιοσ αγαπητοσ ευδοκησα,3,αγαπητοσ ευδοκησα υιοσ,main_text
4,Mark,Mark 1:21,21,Luke,Luke 4:31,201,9,10,0.2623,0.2857,0.2857,0.2353,0.0,0.2411,4,0.4444,2,εισ καφαρναουμ,4,εισ καφαρναουμ σαββασιν τοισ,main_text
5,Mark,Mark 1:22,22,Luke,Luke 4:32,202,9,4,0.2532,0.2,0.2,0.1818,0.0,0.2373,2,0.5,2,εξεπλησσοντο διδαχη,2,διδαχη εξεπλησσοντο,main_text
6,Mark,Mark 1:23,23,Luke,Luke 4:33,203,6,9,0.2689,0.25,0.3636,0.1538,0.0,0.256,3,0.5,2,συναγωγη ανθρωποσ,3,ανεκραξεν ανθρωποσ συναγωγη,main_text
7,Mark,Mark 1:24,24,Luke,Luke 4:34,204,8,9,0.9274,0.8889,0.8889,0.9333,0.9231,0.8581,8,1.0,8,ιησου ναζαρηνε ηλθεσ απολεσαι ημασ οιδα τισ αγιοσ,8,αγιοσ απολεσαι ηλθεσ ημασ ιησου ναζαρηνε οιδα τισ,main_text
8,Mark,Mark 1:25,25,Luke,Luke 4:35,205,5,14,0.5558,0.3846,0.3846,0.4706,0.4,0.3568,5,1.0,5,επετιμησεν αυτω ιησουσ φιμωθητι εξελθε,5,αυτω εξελθε επετιμησεν ιησουσ φιμωθητι,main_text
9,Mark,Mark 1:29,29,Luke,Luke 4:38,208,11,14,0.2732,0.2632,0.2632,0.2609,0.0952,0.2161,5,0.4545,3,εισ οικιαν σιμωνοσ,5,εισ οικιαν σιμωνοσ συναγωγησ τησ,main_text
10,Mark,Mark 1:31,31,Luke,Luke 4:39,209,11,11,0.2191,0.2353,0.25,0.2,0.0,0.2008,4,0.3636,2,αφηκεν αυτην,4,αυτην αυτοισ αφηκεν διηκονει,main_text
11,Mark,Mark 1:39,39,Luke,Luke 4:44,214,10,6,0.4481,0.3636,0.3636,0.4286,0.3333,0.3381,4,0.6667,4,κηρυσσων εισ τασ συναγωγασ,4,εισ κηρυσσων συναγωγασ τασ,main_text
12,Mark,Mark 1:40,40,Luke,Luke 5:12,226,9,16,0.1903,0.1364,0.1364,0.1739,0.0952,0.1615,3,0.3333,3,θελησ δυνασαι καθαρισαι,3,δυνασαι θελησ καθαρισαι,main_text
13,Mark,Mark 1:41,41,Luke,Luke 5:13,227,7,10,0.4346,0.4167,0.4167,0.4,0.1538,0.4511,5,0.7143,3,εκτεινασ χειρα ηψατο,5,εκτεινασ ηψατο θελω καθαρισθητι χειρα,main_text
14,Mark,Mark 1:44,44,Luke,Luke 5:14,228,17,18,0.4985,0.5909,0.5909,0.3636,0.2581,0.5659,12,0.7059,5,προσεταξεν μωυσησ εισ μαρτυριον αυτοισ,13,αλλα αυτοισ αυτω δειξον εισ ιερει καθαρισμου μαρτυριον μηδενι μωυσησ προσενεγκε προσεταξεν σεαυτον,main_text
15,Mark,Mark 2:5,50,Luke,Luke 5:20,234,7,5,0.2594,0.3333,0.3333,0.0,0.0,0.3205,3,0.6,1,ιδων,3,αμαρτιαι ιδων πιστιν,main_text
16,Mark,Mark 2:7,52,Luke,Luke 5:21,235,10,17,0.2599,0.3,0.3,0.08,0.0,0.2776,6,0.6,2,τισ δυναται,6,αμαρτιασ δυναται θεοσ λαλει ουτοσ τισ,main_text
17,Mark,Mark 2:8,53,Luke,Luke 5:22,236,12,10,0.3131,0.2941,0.3125,0.3,0.1111,0.3315,5,0.5,3,διαλογιζεσθε ταισ καρδιαισ,5,διαλογιζεσθε επιγνουσ ιησουσ καρδιαισ ταισ,main_text
18,Mark,Mark 2:9,54,Luke,Luke 5:23,237,11,8,0.5334,0.5455,0.5455,0.4706,0.2667,0.5131,7,0.875,3,εστιν ευκοπωτερον ειπειν,6,αμαρτιαι εγειρε ειπειν εστιν ευκοπωτερον περιπατει,main_text
19,Mark,Mark 2:10,55,Luke,Luke 5:24,238,10,17,0.4657,0.5,0.5,0.4,0.1739,0.4656,7,0.7,4,τησ γησ αφιεναι αμαρτιασ,9,αμαρτιασ ανθρωπου αφιεναι γησ ειδητε εξουσιαν εχει τησ υιοσ,main_text
20,Mark,Mark 2:14,59,Luke,Luke 5:27,241,11,10,0.3513,0.3333,0.3333,0.3158,0.2353,0.3253,5,0.5,4,καθημενον τελωνιον αυτω ακολουθει,5,ακολουθει αυτω καθημενον λευιν τελωνιον,main_text
21,Mark,Mark 2:17,62,Luke,Luke 5:32,246,15,7,0.3263,0.2222,0.2222,0.3,0.2222,0.2471,4,0.5714,4,καλεσαι δικαιουσ αλλα αμαρτωλουσ,4,αλλα αμαρτωλουσ δικαιουσ καλεσαι,main_text
22,Mark,Mark 2:19,64,Luke,Luke 5:34,248,16,11,0.2553,0.2,0.2632,0.24,0.1739,0.1905,4,0.3636,4,νυμφωνοσ νυμφιοσ μετ εστιν,4,εστιν μετ νυμφιοσ νυμφωνοσ,main_text
23,Mark,Mark 2:20,65,Luke,Luke 5:35,249,9,10,0.714,0.5833,0.9,0.7059,0.6667,0.6167,7,0.7778,7,ελευσονται ημεραι οταν απαρθη απ νυμφιοσ νηστευσουσιν,7,απ απαρθη ελευσονται ημεραι νηστευσουσιν νυμφιοσ οταν,main_text
24,Mark,Mark 2:21,66,Luke,Luke 5:36,250,15,18,0.1806,0.1923,0.2273,0.129,0.0,0.1861,5,0.3333,2,ουδεισ επιβλημα,5,επιβλημα ιματιον καινον ουδεισ παλαιον,main_text
25,Mark,Mark 2:22,67,Luke,Luke 5:37,251,20,17,0.5246,0.5789,0.5556,0.4571,0.303,0.5543,12,0.7059,7,ουδεισ βαλλει οινον νεον εισ ασκουσ παλαιουσ,11,ασκοι ασκουσ βαλλει εισ νεον οινον οινοσ ουδεισ παλαιουσ ρηξει τουσ,main_text
26,Mark,Mark 2:23,68,Luke,Luke 6:1,254,12,12,0.2138,0.2632,0.2632,0.0909,0.0,0.2241,5,0.4167,2,τουσ σταχυασ,5,εγενετο μαθηται σποριμων σταχυασ τουσ,main_text
27,Mark,Mark 2:24,69,Luke,Luke 6:2,255,8,7,0.2149,0.25,0.25,0.1538,0.0,0.2533,2,0.2857,2,τοισ σαββασιν,3,εξεστιν σαββασιν τοισ,main_text
28,Mark,Mark 2:25,70,Luke,Luke 6:3,256,11,14,0.3405,0.3158,0.3158,0.3478,0.1905,0.3305,6,0.5455,3,ανεγνωτε εποιησεν δαυιδ,6,ανεγνωτε αυτοσ δαυιδ επεινασεν εποιησεν μετ,main_text
29,Mark,Mark 2:26,71,Luke,Luke 6:4,257,20,19,0.5167,0.6087,0.6087,0.4865,0.2286,0.5878,13,0.6842,4,τουσ αρτουσ τησ προθεσεωσ,14,αρτουσ εδωκεν εισ εισηλθεν εξεστιν εφαγεν ιερεισ οικον ουσ προθεσεωσ τησ τοισ τουσ φαγειν,main_text
30,Mark,Mark 2:28,73,Luke,Luke 6:5,258,6,6,0.5355,0.7143,0.7143,0.4,0.0,0.729,4,0.6667,2,κυριοσ εστιν,5,ανθρωπου εστιν κυριοσ σαββατου υιοσ,main_text
31,Mark,Mark 3:1,74,Luke,Luke 6:6,259,8,12,0.2257,0.25,0.3333,0.1111,0.0,0.1955,3,0.375,2,εισ συναγωγην,4,ανθρωποσ εισ εκει συναγωγην,main_text
32,Mark,Mark 3:3,76,Luke,Luke 6:8,261,7,14,0.3147,0.4,0.4,0.1053,0.0,0.3872,4,0.5714,2,εισ μεσον,6,εγειρε εισ εχοντι μεσον ξηραν χειρα,main_text
33,Mark,Mark 3:4,77,Luke,Luke 6:9,262,10,12,0.3324,0.2941,0.2941,0.3,0.2222,0.3509,5,0.5,4,αγαθοποιησαι κακοποιησαι ψυχην σωσαι,5,αγαθοποιησαι εξεστιν κακοποιησαι σωσαι ψυχην,main_text
34,Mark,Mark 3:5,78,Luke,Luke 6:10,263,14,9,0.314,0.3529,0.3125,0.1905,0.0,0.3724,6,0.6667,2,εκτεινον χειρα,6,απεκατεσταθη αυτουσ εκτεινον περιβλεψαμενοσ χειρ χειρα,main_text
35,Mark,Mark 3:18,91,Luke,Luke 6:15,268,10,7,0.4615,0.4167,0.4167,0.4,0.3077,0.3954,5,0.7143,4,μαθθαιον θωμαν ιακωβον αλφαιου,5,αλφαιου θωμαν ιακωβον μαθθαιον σιμωνα,main_text
36,Mark,Mark 3:19,92,Luke,Luke 6:16,269,4,7,0.4977,0.4286,0.4286,0.4444,0.2857,0.4265,3,0.75,3,ιουδαν ισκαριωθ οσ,3,ιουδαν ισκαριωθ οσ,main_text
37,Mark,Mark 4:4,112,Luke,Luke 8:5,357,7,11,0.3928,0.3846,0.4167,0.25,0.1429,0.3978,5,0.7143,3,σπειρειν επεσεν οδον,5,επεσεν κατεφαγεν οδον πετεινα σπειρειν,main_text
38,Mark,Mark 4:9,117,Luke,Luke 8:8,360,5,15,0.2871,0.1765,0.1765,0.2222,0.125,0.1917,3,0.6,3,ωτα ακουειν ακουετω,3,ακουειν ακουετω ωτα,main_text
39,Mark,Mark 4:11,119,Luke,Luke 8:10,362,10,12,0.2571,0.2941,0.375,0.1,0.0,0.2463,5,0.5,2,τησ βασιλειασ,5,βασιλειασ δεδοται παραβολαισ τησ τοισ,main_text
40,Mark,Mark 4:15,123,Luke,Luke 8:12,364,16,12,0.1805,0.2174,0.2273,0.0769,0.0,0.2012,4,0.3333,2,αιρει λογον,5,αιρει εισιν ερχεται λογον οδον,main_text
41,Mark,Mark 4:18,126,Luke,Luke 8:14,366,10,14,0.3391,0.3529,0.3529,0.2727,0.1,0.2677,6,0.6,3,εισ τασ ακανθασ,6,ακανθασ ακουσαντεσ εισ εισιν ουτοι τασ,main_text
42,Mark,Mark 4:22,130,Luke,Luke 8:17,369,10,10,0.4154,0.5833,0.5833,0.2222,0.0,0.5521,6,0.6,2,εστιν κρυπτον,7,αποκρυφον εισ ελθη εστιν κρυπτον ουδε φανερον,main_text
43,Mark,Mark 4:25,133,Luke,Luke 8:18,370,9,13,0.409,0.4167,0.5455,0.3,0.1111,0.372,6,0.6667,3,δοθησεται αυτω οσ,5,απ αρθησεται αυτω δοθησεται οσ,main_text
44,Mark,Mark 4:35,143,Luke,Luke 8:22,374,8,16,0.2165,0.15,0.2105,0.1818,0.1,0.1471,3,0.375,3,διελθωμεν εισ περαν,3,διελθωμεν εισ περαν,main_text
45,Mark,Mark 4:39,147,Luke,Luke 8:24,376,11,14,0.2751,0.2632,0.2632,0.2609,0.0952,0.2528,5,0.4545,3,διεγερθεισ επετιμησεν ανεμω,5,ανεμω γαληνη διεγερθεισ εγενετο επετιμησεν,main_text
46,Mark,Mark 4:41,149,Luke,Luke 8:25,377,14,18,0.3351,0.28,0.28,0.3333,0.2857,0.2003,7,0.5,6,προσ αλληλουσ τισ αρα ουτοσ εστιν,7,αλληλουσ αρα αυτω εστιν ουτοσ προσ τισ,main_text
47,Mark,Mark 5:1,150,Luke,Luke 8:26,378,8,9,0.3103,0.3333,0.3333,0.2667,0.1538,0.2895,3,0.375,3,εισ χωραν γερασηνων,4,γερασηνων εισ τησ χωραν,main_text
48,Mark,Mark 5:7,156,Luke,Luke 8:28,380,10,12,0.5188,0.4667,0.4667,0.5,0.4444,0.4538,7,0.7,6,φωνη μεγαλη εμοι ιησου υιε υψιστου,7,βασανισησ εμοι ιησου μεγαλη υιε υψιστου φωνη,main_text
49,Mark,Mark 5:11,160,Luke,Luke 8:32,384,7,14,0.2867,0.3333,0.3333,0.1053,0.0,0.3609,4,0.5714,2,αγελη χοιρων,5,αγελη βοσκομενη εκει ορει χοιρων,main_text
50,Mark,Mark 5:13,162,Luke,Luke 8:33,385,18,13,0.4773,0.381,0.381,0.4828,0.4444,0.3704,9,0.6923,8,εισηλθον εισ τουσ χοιρουσ ωρμησεν αγελη κρημνου εισ,8,αγελη εισ εισηλθον εξελθοντα κρημνου τουσ χοιρουσ ωρμησεν,main_text
51,Mark,Mark 5:14,163,Luke,Luke 8:34,386,13,10,0.6361,0.6154,0.6154,0.5714,0.5263,0.661,8,0.8,7,εφυγον απηγγειλαν εισ πολιν εισ τουσ αγρουσ,8,αγρουσ απηγγειλαν βοσκοντεσ γεγονοσ εισ εφυγον πολιν τουσ,main_text
52,Mark,Mark 5:15,164,Luke,Luke 8:35,387,10,17,0.2136,0.2273,0.2273,0.08,0.0,0.2348,5,0.5,2,ιματισμενον σωφρονουντα,5,εφοβηθησαν ιματισμενον καθημενον προσ σωφρονουντα,main_text
53,Mark,Mark 5:16,165,Luke,Luke 8:36,388,7,6,0.3508,0.3,0.3,0.3636,0.2222,0.2162,3,0.5,3,αυτοισ ιδοντεσ πωσ,3,αυτοισ ιδοντεσ πωσ,main_text
54,Mark,Mark 5:20,169,Luke,Luke 8:39,391,10,16,0.3091,0.2632,0.3333,0.25,0.1818,0.2021,5,0.5,4,οσα εποιησεν αυτω ιησουσ,5,απηλθεν αυτω εποιησεν ιησουσ οσα,main_text
55,Mark,Mark 5:25,174,Luke,Luke 8:43,395,6,15,0.4181,0.3125,0.3125,0.3158,0.2353,0.2945,5,0.8333,4,γυνη ουσα ρυσει αιματοσ,5,αιματοσ γυνη δωδεκα ουσα ρυσει,main_text
56,Mark,Mark 5:27,176,Luke,Luke 8:44,396,7,10,0.2159,0.2143,0.2143,0.1333,0.0,0.2134,3,0.4286,2,οπισθεν ηψατο,3,ηψατο ιματιου οπισθεν,main_text
57,Mark,Mark 5:34,183,Luke,Luke 8:48,400,10,6,0.4809,0.4545,0.4545,0.4286,0.1667,0.4336,5,0.8333,3,θυγατηρ πιστισ σεσωκεν,5,ειρηνην εισ θυγατηρ πιστισ σεσωκεν,main_text
58,Mark,Mark 5:35,184,Luke,Luke 8:49,401,10,10,0.2786,0.3571,0.3571,0.1111,0.0,0.3713,5,0.5,2,ετι λαλουντοσ,5,αρχισυναγωγου διδασκαλον ετι θυγατηρ λαλουντοσ,main_text
59,Mark,Mark 5:36,185,Luke,Luke 8:50,402,8,8,0.2116,0.2308,0.2308,0.1429,0.0,0.1904,3,0.375,2,φοβου μονον,3,ιησουσ μονον φοβου,main_text
60,Mark,Mark 5:39,188,Luke,Luke 8:52,404,8,8,0.3367,0.3333,0.3333,0.2857,0.1667,0.3406,4,0.5,3,απεθανεν αλλα καθευδει,4,αλλα απεθανεν καθευδει κλαιετε,main_text
61,Mark,Mark 5:41,190,Luke,Luke 8:54,406,11,8,0.2924,0.2667,0.2667,0.2353,0.1333,0.2566,4,0.5,3,κρατησασ τησ χειροσ,4,εγειρε κρατησασ τησ χειροσ,main_text
62,Mark,Mark 6:7,199,Luke,Luke 9:1,409,13,10,0.1959,0.2222,0.2222,0.0952,0.0,0.1587,4,0.4,2,τουσ δωδεκα,4,αυτοισ δωδεκα εξουσιαν τουσ,main_text
63,Mark,Mark 6:8,200,Luke,Luke 9:3,411,13,18,0.2213,0.3,0.3,0.069,0.0,0.2877,5,0.3846,2,εισ οδον,6,αρτον εισ μηδεν οδον πηραν ραβδον,main_text
64,Mark,Mark 6:10,202,Luke,Luke 9:4,412,10,7,0.4342,0.5455,0.5455,0.2667,0.0,0.5396,5,0.7143,2,εισ οικιαν,6,εισ εισελθητε εκει εκειθεν μενετε οικιαν,main_text
65,Mark,Mark 6:16,208,Luke,Luke 9:9,417,6,10,0.2417,0.3333,0.3333,0.0,0.0,0.3344,3,0.5,1,ηρωδησ,4,απεκεφαλισα ηρωδησ ιωαννην ουτοσ,main_text
66,Mark,Mark 6:30,222,Luke,Luke 9:10,418,9,15,0.24,0.2105,0.2105,0.1818,0.1,0.1887,4,0.4444,3,αυτω οσα εποιησαν,4,αποστολοι αυτω εποιησαν οσα,main_text
67,Mark,Mark 6:37,229,Luke,Luke 9:13,421,16,21,0.1956,0.1724,0.1724,0.1714,0.1212,0.1672,5,0.3125,4,δοτε αυτοισ υμεισ φαγειν,5,αγορασωμεν αυτοισ δοτε υμεισ φαγειν,main_text
68,Mark,Mark 6:41,233,Luke,Luke 9:16,424,24,18,0.6574,0.6667,0.6667,0.6,0.5263,0.6408,15,0.8333,11,λαβων τουσ πεντε αρτουσ τουσ δυο ιχθυασ αναβλεψασ εισ ουρανον ευλογησεν,14,αναβλεψασ αρτουσ δυο εδιδου εισ ευλογησεν ιχθυασ κατεκλασεν λαβων μαθηταισ ουρανον πεντε τοισ τουσ,main_text
69,Mark,Mark 6:42,234,Luke,Luke 9:17,425,3,9,0.2825,0.3333,0.3333,0.0,0.0,0.317,2,0.6667,1,εφαγον,3,εφαγον εχορτασθησαν παντεσ,main_text
70,Mark,Mark 8:28,312,Luke,Luke 9:19,427,10,11,0.4221,0.3571,0.3571,0.4211,0.3529,0.3938,6,0.6,5,ιωαννην βαπτιστην αλλοι ηλιαν αλλοι,5,αλλοι βαπτιστην ειπαν ηλιαν ιωαννην,main_text
71,Mark,Mark 8:29,313,Luke,Luke 9:20,428,10,7,0.3855,0.4167,0.4167,0.2667,0.1538,0.4303,4,0.5714,3,υμεισ λεγετε ειναι,5,αποκριθεισ ειναι λεγετε πετροσ υμεισ,main_text
72,Mark,Mark 8:30,314,Luke,Luke 9:21,429,4,6,0.2098,0.25,0.25,0.0,0.0,0.1968,2,0.5,1,αυτοισ,2,αυτοισ μηδενι,main_text
73,Mark,Mark 8:31,315,Luke,Luke 9:22,430,16,14,0.5942,0.5,0.5,0.6429,0.6154,0.51,10,0.7143,10,δει υιον ανθρωπου πολλα παθειν αποδοκιμασθηναι πρεσβυτερων αρχιερεων γραμματεων αποκτανθηναι,10,ανθρωπου αποδοκιμασθηναι αποκτανθηναι αρχιερεων γραμματεων δει παθειν πολλα πρεσβυτερων υιον,main_text
74,Mark,Mark 8:34,318,Luke,Luke 9:23,431,14,13,0.3437,0.35,0.35,0.32,0.1739,0.3702,7,0.5385,3,τισ θελει οπισω,7,ακολουθειτω αρατω εαυτον θελει οπισω σταυρον τισ,main_text
75,Mark,Mark 8:35,319,Luke,Luke 9:24,432,14,14,0.7043,0.75,0.75,0.6923,0.5,0.7452,12,0.8571,7,οσ θελη ψυχην σωσαι απολεσει αυτην οσ,9,απολεσει αυτην εμου ενεκεν θελη οσ σωσαι σωσει ψυχην,main_text
76,Mark,Mark 8:36,320,Luke,Luke 9:25,433,7,8,0.1847,0.1538,0.25,0.1538,0.0,0.1307,2,0.2857,2,κοσμον ολον,2,κοσμον ολον,main_text
77,Mark,Mark 8:38,322,Luke,Luke 9:26,434,18,15,0.689,0.7368,0.7222,0.6452,0.5517,0.7118,13,0.8667,7,υιοσ ανθρωπου επαισχυνθησεται οταν ελθη δοξη πατροσ,14,αγγελων αγιων ανθρωπου δοξη ελθη εμουσ επαισχυνθη επαισχυνθησεται λογουσ οσ οταν πατροσ τουσ υιοσ,main_text
78,Mark,Mark 9:1,323,Luke,Luke 9:27,435,15,10,0.5535,0.5625,0.5625,0.4348,0.2857,0.5589,9,0.9,5,γευσωνται θανατου εωσ ιδωσιν βασιλειαν,9,βασιλειαν γευσωνται εισιν εστηκοτων εωσ θανατου ιδωσιν λεγω τινεσ,main_text
79,Mark,Mark 9:5,327,Luke,Luke 9:33,441,17,21,0.5121,0.5455,0.5455,0.4444,0.3529,0.5717,12,0.7059,6,καλον εστιν ημασ ωδε ειναι ποιησωμεν,12,ειναι εστιν ηλια ημασ καλον μιαν μωυσει πετροσ ποιησωμεν σκηνασ τρεισ ωδε,main_text
80,Mark,Mark 9:7,329,Luke,Luke 9:35,443,13,10,0.4558,0.5714,0.5714,0.2857,0.1053,0.4905,7,0.7,3,ουτοσ εστιν υιοσ,8,ακουετε εγενετο εστιν νεφελησ ουτοσ τησ υιοσ φωνη,main_text
81,Mark,Mark 9:19,341,Luke,Luke 9:41,449,14,14,0.3995,0.5625,0.5625,0.2308,0.0,0.5666,8,0.5714,2,γενεα απιστοσ,9,ανεξομαι απιστοσ αποκριθεισ γενεα εσομαι εωσ ποτε προσ υμασ,main_text
82,Mark,Mark 9:31,353,Luke,Luke 9:44,452,15,14,0.252,0.2727,0.2381,0.2222,0.08,0.1986,6,0.4286,3,εισ χειρασ ανθρωπων,6,ανθρωπου ανθρωπων εισ τουσ υιοσ χειρασ,main_text
83,Mark,Mark 9:32,354,Luke,Luke 9:45,453,4,10,0.3189,0.2727,0.2727,0.1667,0.0,0.2796,3,0.75,2,ηγνοουν ρημα,3,εφοβουντο ηγνοουν ρημα,main_text
84,Mark,Mark 9:37,359,Luke,Luke 9:48,456,14,19,0.3581,0.3158,0.3889,0.2581,0.2069,0.3268,9,0.6429,5,ονοματι εμε δεχεται οσ εμε,6,αποστειλαντα δεξηται δεχεται εμε ονοματι οσ,main_text
85,Mark,Mark 9:38,360,Luke,Luke 9:49,457,10,10,0.4611,0.4286,0.4286,0.4444,0.375,0.4661,6,0.6,5,ειδομεν ονοματι εκβαλλοντα δαιμονια εκωλυομεν,6,δαιμονια ειδομεν εκβαλλοντα εκωλυομεν ιωαννησ ονοματι,main_text
86,Mark,Mark 9:40,362,Luke,Luke 9:50,458,4,7,0.6657,0.5,0.5,0.6667,0.5714,0.505,4,1.0,4,οσ εστιν καθ εστιν,3,εστιν καθ οσ,main_text
87,Mark,Mark 9:50,370,Luke,Luke 14:34,694,11,5,0.2981,0.1667,0.1667,0.2857,0.1667,0.152,3,0.6,3,καλον αλασ αλασ,2,αλασ καλον,main_text
88,Mark,Mark 10:5,375,Luke,Luke 15:3,698,7,4,0.1986,0.2222,0.2222,0.0,0.0,0.1949,2,0.5,1,προσ,2,προσ ταυτην,main_text
89,Mark,Mark 10:8,378,Luke,Luke 17:35,793,12,7,0.2058,0.2,0.2,0.1176,0.0,0.1886,3,0.4286,2,εσονται δυο,3,δυο εσονται μια,main_text
90,Mark,Mark 10:13,383,Luke,Luke 18:15,809,7,8,0.3033,0.3636,0.3636,0.1538,0.0,0.2562,4,0.5714,2,προσεφερον αυτω,4,αυτοισ αυτω μαθηται προσεφερον,main_text
91,Mark,Mark 10:14,384,Luke,Luke 18:16,810,13,12,0.7259,0.7143,0.7143,0.6957,0.6667,0.6875,10,0.8333,9,αφετε παιδια ερχεσθαι προσ κωλυετε αυτα τοιουτων εστιν βασιλεια,10,αυτα αφετε βασιλεια ερχεσθαι εστιν ιησουσ κωλυετε παιδια προσ τοιουτων,main_text
