thomas_logion,word_count,lemma_count,registered_parallel_count,motifs,matthew_refs,mark_refs,luke_refs,john_refs,relation_type,matrix_strength,direct_dependence_burden_labels,best_first_model,coptic_greek_caveat
0,22,22,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
1,22,22,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
2,35,35,1,seek/find and transformation,Matt 7:7-8,,Luke 11:9-10,,shared_sayings_or_parable_tradition,medium,moderate,shared sayings tradition; Thomas expands toward revelatory sequence,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
3,103,103,1,kingdom inside/among you,,,Luke 17:20-21,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared kingdom saying with divergent theological framing,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
4,50,50,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
5,36,36,1,hidden/revealed,Matt 10:26,Mark 4:22,Luke 8:17,,shared_sayings_or_parable_tradition,high,low-to-moderate,portable proverb/tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
6,94,94,1,fasting/prayer/alms disclosure,Matt 6:1-18,,,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared ethical tradition or anti-ritual polemic; direct dependence weak,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
7,42,42,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
8,99,99,1,fisherman/net and good fish,Matt 13:47-50,,,,shared_sayings_or_parable_tradition,medium,moderate,parable tradition; Thomas compresses/gnomizes,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
9,119,119,1,sower parable,Matt 13:3-8,Mark 4:3-8,Luke 8:5-8,,possible_synoptic_influence_or_harmonization,high,moderate,shared parable tradition; direct dependence possible if wording clusters survive in Greek witnesses,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
10,22,22,1,fire cast on earth,,,Luke 12:49,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared apocalyptic saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
11,92,92,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
12,53,53,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
13,191,191,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
14,101,101,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
15,33,33,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
16,85,85,1,division in household,Matt 10:34-36,,Luke 12:51-53,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared apocalyptic/mission saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
17,40,40,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
18,78,78,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
19,70,70,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
20,72,72,1,mustard seed,Matt 13:31-32,Mark 4:30-32,Luke 13:18-19,,possible_synoptic_influence_or_harmonization,high,moderate,parable tradition; direct dependence hard because compact parable travels orally,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
21,209,209,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
22,177,177,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
23,28,28,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
24,65,65,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
25,25,25,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
26,56,56,1,speck and beam,Matt 7:3-5,,Luke 6:41-42,,shared_sayings_or_parable_tradition,medium,low-to-moderate,portable satirical saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
27,29,29,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
28,107,107,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
29,43,43,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
30,27,27,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
31,18,18,1,prophet not accepted,Matt 13:57,Mark 6:4,Luke 4:24,John 4:44,shared_sayings_or_parable_tradition,high,low,portable proverb,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
32,30,30,1,city on hill,Matt 5:14,,,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared saying; Matthew-context dependence possible but not forced,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
33,74,74,1,lamp not hidden,Matt 5:15,Mark 4:21,Luke 11:33; Luke 8:16,,shared_sayings_or_parable_tradition,high,low,portable proverb,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
34,27,27,1,blind leading blind,Matt 15:14,,Luke 6:39,,shared_sayings_or_parable_tradition,medium,low,portable proverb,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
35,35,35,1,strong man house/plunder,Matt 12:29,Mark 3:27,Luke 11:21-22,,overlapping_jesus_tradition_uncertain_direction,high,moderate,shared controversy saying/tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
36,23,23,1,anxiety over clothing,Matt 6:25-34,,Luke 12:22-31,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared sapiential saying cluster,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
37,84,84,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
38,50,50,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
39,57,57,1,keys/knowledge and exclusion,Matt 23:13,,Luke 11:52,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared polemical saying; possible Luke/Thomas cluster,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
40,33,33,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
41,33,33,1,whoever has will receive,Matt 13:12,Mark 4:25,Luke 19:26; Luke 8:18,,shared_sayings_or_parable_tradition,high,low,portable aphorism,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
42,7,7,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
43,65,65,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
44,55,55,1,blasphemy against Spirit,Matt 12:31-32,Mark 3:28-29,Luke 12:10,,overlapping_jesus_tradition_uncertain_direction,high,moderate,shared controversy saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
45,79,79,1,tree and fruit / good and evil treasury,Matt 7:16-20,,Luke 6:43-45,,overlapping_jesus_tradition_uncertain_direction,medium,low-to-moderate,shared sapiential cluster,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
46,60,60,1,John the Baptist and least/greatest,Matt 11:11,,Luke 7:28,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared Baptist saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
47,109,109,1,new wine/old wineskins; two masters?,Matt 6:24; Matt 9:16-17,Mark 2:21-22,Luke 16:13; Luke 5:36-39,,overlapping_jesus_tradition_uncertain_direction,high,high for any single source,conflated saying cluster; network model better than tree model,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
48,27,27,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
49,31,31,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
50,102,102,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
51,53,53,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
52,50,50,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
53,46,46,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
54,16,16,1,blessed poor / kingdom,Matt 5:3,,Luke 6:20,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,beatitude tradition; Thomas closer to Luke’s simple poor form,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
55,50,50,1,hate family and carry cross,Matt 10:37-38,,Luke 14:26-27,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,discipleship saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
56,30,30,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
57,97,97,1,weeds/tares,Matt 13:24-30,,,,overlapping_jesus_tradition_uncertain_direction,medium,moderate-to-high,possible Matthew-related tradition; Thomas shorter and less allegorized,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
58,18,18,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
59,33,33,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
60,111,111,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
61,100,100,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
62,33,33,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
63,80,80,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
64,269,269,1,banquet excuses,Matt 22:1-14,,Luke 14:16-24,,shared_sayings_or_parable_tradition,medium,moderate,parable tradition; Luke/Thomas closer in shape than Matthew,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
65,167,167,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
66,26,26,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
67,21,21,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
68,34,34,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
69,46,46,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
70,34,34,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
71,18,18,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
72,59,59,1,inheritance divider,,,Luke 12:13-14,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared Lukan/Thomas-like independent saying or Thomas knowing Luke; independence burden high,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
73,27,27,1,"harvest plentiful, laborers few",Matt 9:37-38,,Luke 10:2,,overlapping_jesus_tradition_uncertain_direction,medium,low-to-moderate,mission saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
74,20,20,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
75,23,23,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
76,82,82,1,pearl of great value,Matt 13:45-46,,,,shared_sayings_or_parable_tradition,medium,moderate-to-high,parable tradition; possible Matthean relationship but not decided by Coptic layer alone,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
77,52,52,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
78,63,63,1,reed/soft clothing in palaces,Matt 11:7-8,,Luke 7:24-25,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,Baptist saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
79,85,85,1,womb/breasts blessing reversed,,,Luke 11:27-28,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared or Lukan-related saying; high-value because uncommon scene,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
80,31,31,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
81,22,22,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
82,25,25,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
83,40,40,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
84,42,42,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
85,42,42,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
86,41,41,1,foxes have holes,Matt 8:20,,Luke 9:58,,overlapping_jesus_tradition_uncertain_direction,medium,low-to-moderate,discipleship saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
87,28,28,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
88,54,54,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
89,41,41,1,clean inside/outside cup,Matt 23:25-26,,Luke 11:39-41,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared polemical saying; possible Luke/Thomas form relation,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
90,28,28,1,rest and easy yoke,Matt 11:28-30,,,,overlapping_jesus_tradition_uncertain_direction,medium,moderate-to-high,possible Matthean/Thomas relation or shared wisdom-Christology saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
91,56,56,1,interpreting weather/signs but not the time,Matt 16:2-3,,Luke 12:54-56,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared signs-of-the-time saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
92,45,45,1,seek/find,Matt 7:7-8,,Luke 11:9-10,,shared_sayings_or_parable_tradition,medium,low-to-moderate,portable saying; Thomas redactional context matters more than surface wording,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
93,32,32,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
94,17,17,1,seek/find/knock/open,Matt 7:7-8,,Luke 11:9-10,,shared_sayings_or_parable_tradition,medium,low-to-moderate,portable saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
95,26,26,1,lend without return/usury,,,Luke 6:34-35,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared ethical saying; possible Lukan affinity,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
96,46,46,1,leaven,Matt 13:33,,Luke 13:20-21,,shared_sayings_or_parable_tradition,medium,moderate,parable tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
97,88,88,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
98,55,55,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
99,58,58,1,true family does will of Father,Matt 12:46-50,Mark 3:31-35,Luke 8:19-21,,overlapping_jesus_tradition_uncertain_direction,high,moderate,shared biographical/saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
100,54,54,1,Caesar’s coin,Matt 22:15-22,Mark 12:13-17,Luke 20:20-26,,possible_synoptic_influence_or_harmonization,high,moderate,shared controversy tradition; direct relation possible only with closer wording analysis,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
101,60,60,1,hate father/mother,Matt 10:37,,Luke 14:26,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,discipleship saying tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
102,38,38,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
103,49,49,1,thief known beforehand,Matt 24:43,,Luke 12:39,,overlapping_jesus_tradition_uncertain_direction,medium,low-to-moderate,apocalyptic watchfulness saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
104,57,57,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
105,22,22,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
106,30,30,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
107,60,60,1,lost sheep,Matt 18:12-14,,Luke 15:3-7,,shared_sayings_or_parable_tradition,medium,moderate,parable tradition with divergent theological placement,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
108,34,34,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
109,93,93,1,treasure hidden in field,Matt 13:44,,,,possible_synoptic_influence_or_harmonization,medium,moderate-to-high,parable tradition; possible Matthean relation but direct evidence limited in Coptic-only layer,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
110,20,20,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
111,52,52,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
112,23,23,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
113,61,61,1,kingdom not observable / spread on earth,,,Luke 17:20-21,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,kingdom-saying tradition; Thomas develops realized/interiorized idiom,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
114,79,79,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
subtitle,5,5,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.
